date,name,category,value
2021-08-01,Tekkies Brand,2021,72037
2021-09-01,Tekkies Brand,2021,158883
2021-10-01,Tekkies Brand,2021,133936
2021-11-01,Tekkies Brand,2021,136509
2021-12-01,Tekkies Brand,2021,179937
2022-01-01,Tekkies Brand,2022,135699
2022-02-01,Tekkies Brand,2022,138861
2022-03-01,Tekkies Brand,2022,156693
2022-04-01,Tekkies Brand,2022,111014
2022-05-01,Tekkies Brand,2022,106645
2022-06-01,Tekkies Brand,2022,82978
2022-07-01,Tekkies Brand,2022,111889
2022-08-01,Tekkies Brand,2022,119818
2022-09-01,Tekkies Brand,2022,155366
2022-10-01,Tekkies Brand,2022,35725
