date,name,category,value
2023-02-01,Ndenzel' Uncedo Hymn 377 - Live,2023,38276
2023-03-01,Ndenzel' Uncedo Hymn 377 - Live,2023,180611
2023-04-01,Ndenzel' Uncedo Hymn 377 - Live,2023,193919
2023-04-01,Yesu Wena UnguMhlobo - Live,2023,39448
2023-05-01,Ndenzel' Uncedo Hymn 377 - Live,2023,198364
2023-06-01,Ndenzel' Uncedo Hymn 377 - Live,2023,261634
2023-07-01,Ndenzel' Uncedo Hymn 377 - Live,2023,198153
2023-08-01,Ndenzel' Uncedo Hymn 377 - Live,2023,283621
2023-09-01,Ndenzel' Uncedo Hymn 377 - Live,2023,113831
2023-10-01,Ndenzel' Uncedo Hymn 377 - Live,2023,53847
2023-11-01,Ndenzel' Uncedo Hymn 377 - Live,2023,56030
2024-03-01,Ndenzel' Uncedo Hymn 377 - Live,2024,68167
2024-04-01,Ndenzel' Uncedo Hymn 377 - Live,2024,135370
