date,name,category,value
2018-06-01,Waya Waya (feat. Cassper Nyovest),2018,4055
2019-08-01,Say U Will,2019,9349
2022-08-01,SETE (feat. Young Stunna & Blxckie),2022,277597
2022-09-01,MOSHITO,2022,40602
2022-09-01,SETE (feat. Young Stunna & Blxckie),2022,1943833
2022-10-01,SETE (feat. Young Stunna & Blxckie),2022,1274360
2022-11-01,SETE (feat. Young Stunna & Blxckie),2022,1025715
2022-12-01,SETE (feat. Young Stunna & Blxckie),2022,1290474
2023-01-01,SETE (feat. Young Stunna & Blxckie),2023,770625
2023-02-01,SETE (feat. Young Stunna & Blxckie),2023,577591
2023-03-01,SETE (feat. Young Stunna & Blxckie),2023,723051
2023-03-01,"SETE REMIX (feat. Young Stunna, Diamond Platnumz & Oxlade)",2023,45615
2023-04-01,SETE (feat. Young Stunna & Blxckie),2023,453743
2023-05-01,SETE (feat. Young Stunna & Blxckie),2023,366296
2023-06-01,ROCKABYE (feat. Toss),2023,45808
2023-06-01,SETE (feat. Young Stunna & Blxckie),2023,438182
2023-07-01,SETE (feat. Young Stunna & Blxckie),2023,320414
2023-08-01,SETE (feat. Young Stunna & Blxckie),2023,382428
2023-09-01,SETE (feat. Young Stunna & Blxckie),2023,243728
2023-10-01,SETE (feat. Young Stunna & Blxckie),2023,239977
2023-10-01,Thatha (feat. Daliwonga),2023,55416
2023-11-01,SETE (feat. Young Stunna & Blxckie),2023,119549
2023-12-01,SETE (feat. Young Stunna & Blxckie),2023,76577
2024-01-01,SETE (feat. Young Stunna & Blxckie),2024,71083
2024-05-01,Let Me Cook (feat. Maglera Doe Boy),2024,97623
2024-06-01,Let Me Cook (feat. Maglera Doe Boy),2024,432662
