date,name,category,value
2021-04-01,Nkulunkulu,2021,211615
2021-04-01,Percy Tau,2021,24051
2021-05-01,Nkulunkulu,2021,190222
2021-05-01,Percy Tau,2021,42724
2021-06-01,Nkulunkulu,2021,138318
2021-07-01,Nkulunkulu,2021,47001
2021-07-01,Thula Thula - Edit,2021,19834
2021-11-01,Dubai,2021,172230
2022-06-01,Ghost,2022,145487
2022-07-01,Ghost,2022,59028
2023-02-01,HANNAH MONTANA,2023,88510
2023-03-01,HANNAH MONTANA,2023,41750
2023-09-01,Umhlolo,2023,65108
2023-10-01,Dalie,2023,509044
2023-10-01,Umhlolo,2023,55087
2023-11-01,Dalie (feat. Baby S.O.N),2023,2007908
2023-12-01,Dalie (feat. Baby S.O.N),2023,1922226
2024-01-01,Dalie (feat. Baby S.O.N),2024,1169365
2024-02-01,Dalie (feat. Baby S.O.N),2024,865786
2024-03-01,Dalie (feat. Baby S.O.N),2024,594642
2024-04-01,Dalie (feat. Baby S.O.N),2024,416539
