date,name,category,value
2020-10-01,Empini,2020,57409
2020-10-01,Empini - Edit,2020,52977
2020-11-01,Empini,2020,73116
2020-11-01,Empini - Edit,2020,77472
2020-12-01,Empini,2020,38292
2020-12-01,Empini - Edit,2020,105640
2021-01-01,Empini - Edit,2021,15304
2022-10-01,Ngathwala Ngaye,2022,66259
2022-11-01,Ngathwala Ngaye,2022,158333
2022-12-01,Empini,2022,42366
2022-12-01,Ngathwala Ngaye,2022,35116
2023-01-01,Empini,2023,39810
2023-02-01,Ngathwala Ngaye,2023,41438
2023-03-01,Ngathwala Ngaye,2023,48297
2024-05-01,Ngathwala Ngaye,2024,77345
