date,name,category,value
2021-02-01,Madlamini,2021,21869
2021-12-01,Amukelani,2021,29717
2021-12-01,Dludlu,2021,26699
2021-12-01,Funa,2021,93039
2021-12-01,Intro,2021,28002
2021-12-01,Inyembezi,2021,28323
2021-12-01,Ivy League,2021,139048
2021-12-01,Sharp,2021,81358
2021-12-01,Song Cry,2021,39699
2021-12-01,Treasure,2021,32272
2022-01-01,Funa,2022,108964
2022-01-01,Ivy League,2022,180362
2022-01-01,Sharp,2022,28843
2022-01-01,Song Cry,2022,48173
2022-02-01,Ivy League,2022,84356
2022-05-01,Inyembezi,2022,25178
2022-06-01,Inyembezi,2022,26903
2022-07-01,Inyembezi,2022,79545
2022-09-01,Inyembezi,2022,28600
