date,name,category,value
2023-06-01,Matome,2023,196867
2023-07-01,Matome,2023,197371
2023-08-01,Matome,2023,152872
2023-09-01,Matome,2023,105364
2023-10-01,Matome,2023,54171
2024-06-01,Chokeslem,2024,170368
2024-07-01,Chokeslem,2024,705148
2024-08-01,Chokeslem,2024,1168875
2024-09-01,Chokeslem,2024,1045800
2024-09-01,Spikareng,2024,95728
2024-09-01,Tiya tiya,2024,271168
2024-09-01,Tlala o nyele,2024,209248
2024-10-01,Chokeslem,2024,990167
2024-10-01,Spikareng,2024,349893
2024-10-01,Tiya tiya,2024,336053
2024-10-01,Tlala o nyele,2024,378493
