date,name,category,value
2022-11-01,AYE KUWA (feat. CK THE DJ),2022,69640
2022-12-01,AYE KUWA (feat. CK THE DJ),2022,486341
2023-01-01,AYE KUWA (feat. CK THE DJ),2023,402488
2023-02-01,AYE KUWA (feat. CK THE DJ),2023,287363
2023-03-01,AYE KUWA (feat. CK THE DJ),2023,381105
2023-04-01,AYE KUWA (feat. CK THE DJ),2023,311060
2023-04-01,LEMENEMENE,2023,345188
2023-05-01,AYE KUWA (feat. CK THE DJ),2023,269504
2023-05-01,LEMENEMENE,2023,292619
2023-06-01,AYE KUWA (feat. CK THE DJ),2023,269840
2023-06-01,LEMENEMENE,2023,340388
2023-07-01,AYE KUWA (feat. CK THE DJ),2023,46968
2023-07-01,LEMENEMENE,2023,224026
2023-08-01,LEMENEMENE,2023,100277
2023-12-01,LEMENEMENE,2023,153689
2024-01-01,LEMENEMENE,2024,78580
