date,name,category,value
2022-06-01,Kancane,2022,386209
2022-07-01,Kancane,2022,278647
2022-08-01,Kancane,2022,272374
2022-09-01,Kancane,2022,314874
2022-10-01,Kancane,2022,231486
2022-11-01,Kancane,2022,244364
2022-11-01,M'nike - Radio Edit,2022,87199
2022-12-01,Kancane,2022,421720
2022-12-01,M'nike - Radio Edit,2022,284095
2023-01-01,Kancane,2023,225112
2023-01-01,M'nike - Radio Edit,2023,111668
2023-02-01,Kancane,2023,205271
2023-02-01,M'nike - Radio Edit,2023,40451
2023-03-01,Kancane,2023,91991
2023-03-01,M'nike - Radio Edit,2023,86998
2023-04-01,M'nike - Radio Edit,2023,50263
2023-05-01,M'nike - Radio Edit,2023,155467
