date,name,category,value
2018-03-01,Spirit (feat. Wale),2018,8994
2018-04-01,Spirit (feat. Wale),2018,18297
2018-05-01,Spirit (feat. Wale),2018,17238
2018-06-01,Spirit (feat. Wale),2018,3271
2018-09-01,Vur Vai,2018,8030
2018-10-01,Vur Vai,2018,35719
2018-11-01,Vur Vai,2018,41169
2018-12-01,Vur Vai,2018,35147
2019-01-01,Vur Vai,2019,39000
2019-02-01,Vur Vai,2019,7232
2019-03-01,Vur Vai,2019,7279
2019-05-01,Khethile Khethile (feat. Makwa & Tshego AMG),2019,18237
2019-11-01,Run It Up (feat. Rich Homie Quan),2019,12260
2019-12-01,I Came I Saw (feat. Rick Ross),2019,12477
2020-05-01,Njandini,2020,12019
2021-05-01,Kubo,2021,18857
