date,name,category,value
2019-03-01,Iskhathi - Main Mix,2019,22416
2021-03-01,LiYoshona - Main Mix,2021,95340
2021-04-01,LiYoshona - Main Mix,2021,344159
2021-05-01,LiYoshona - Main Mix,2021,365399
2021-06-01,LiYoshona - Main Mix,2021,343107
2021-07-01,LiYoshona - Main Mix,2021,282927
2021-08-01,LiYoshona - Main Mix,2021,188589
2021-09-01,LiYoshona - Main Mix,2021,241431
2021-10-01,LiYoshona - Main Mix,2021,159964
2021-11-01,LiYoshona - Main Mix,2021,132434
2021-11-01,Sbongu Mdali,2021,30860
2021-12-01,LiYoshona - Main Mix,2021,159269
