date,name,category,value
2023-11-01,Fusegi Ngempela Manje!,2023,61348
2023-11-01,Mawalawala,2023,80657
2023-12-01,Fusegi Ngempela Manje!,2023,223799
2023-12-01,Mawalawala,2023,417827
2024-01-01,Fusegi Ngempela Manje!,2024,261163
2024-01-01,Mawalawala,2024,323123
2024-02-01,Fusegi Ngempela Manje!,2024,67637
2024-02-01,Mawalawala,2024,332398
2024-03-01,Fusegi Ngempela Manje!,2024,66614
2024-03-01,Mawalawala,2024,282484
2024-04-01,Fusegi Ngempela Manje!,2024,139627
2024-04-01,Mawalawala,2024,328306
2024-05-01,Fusegi Ngempela Manje!,2024,163250
2024-05-01,Mawalawala,2024,426749
2024-06-01,Mawalawala,2024,237531
