date,name,category,value
2022-12-01,People,2022,114655
2023-01-01,People,2023,496231
2023-02-01,People,2023,753875
2023-03-01,People,2023,1047853
2023-03-01,People (feat. Ayra Starr & Omah Lay),2023,197800
2023-04-01,People,2023,743371
2023-04-01,People (feat. Ayra Starr & Omah Lay),2023,224808
2023-05-01,People,2023,714207
2023-05-01,People (feat. Ayra Starr & Omah Lay),2023,211477
2023-06-01,People,2023,793403
2023-06-01,People (feat. Ayra Starr & Omah Lay),2023,99581
2023-07-01,People,2023,531299
2023-08-01,People,2023,611428
2023-09-01,People,2023,374574
2023-10-01,People,2023,327815
2023-11-01,People,2023,384165
2023-12-01,People,2023,320614
2024-01-01,People,2024,272225
2024-02-01,People,2024,129968
2024-03-01,People,2024,283071
