date,name,category,value
2022-08-01,Ithuba,2022,29740
2022-09-01,Ithuba,2022,182560
2022-10-01,Ithuba,2022,200277
2022-11-01,Ithuba,2022,239294
2022-12-01,Ithuba,2022,332290
2023-01-01,Ithuba,2023,282456
2023-01-01,Ngiyeza,2023,131406
2023-02-01,Ithuba,2023,334595
2023-02-01,Ngiyeza,2023,628966
2023-03-01,Ithuba,2023,490257
2023-03-01,Ngiyeza,2023,772967
2023-04-01,Ithuba,2023,410035
2023-04-01,Ngiyeza,2023,651657
2023-05-01,Ithuba,2023,349447
2023-05-01,Ngiyeza,2023,529501
2023-06-01,Ithuba,2023,160550
2023-06-01,Ngiyeza,2023,237861
