date,name,category,value
2022-12-01,Kulula,2022,306361
2023-01-01,Kulula,2023,71488
2023-05-01,Nduma Ndumane,2023,253375
2023-06-01,Nduma Ndumane,2023,95396
2023-08-01,Nduma Ndumane,2023,106246
2023-09-01,Nduma Ndumane,2023,224085
2023-09-01,Ngilimele,2023,260527
2023-10-01,Nduma Ndumane,2023,243143
2023-10-01,Ngilimele,2023,338474
2023-10-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2023,114978
2023-11-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2023,577668
2023-12-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2023,691859
2024-01-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2024,548113
2024-02-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2024,551566
2024-03-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2024,453009
2024-04-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2024,429251
2024-04-01,Ukwamukela,2024,66071
2024-05-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2024,674890
2024-06-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2024,429451
2024-07-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2024,387606
2024-08-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2024,459191
2024-09-01,"Ngilimele (feat. Deep Sen, KingTalkzin, Mthunzi)",2024,86470
