date,name,category,value
2020-11-01,Dinaledi,2020,73070
2020-12-01,Dinaledi,2020,275074
2020-12-01,Le Plane ELandile,2020,118001
2021-01-01,Dinaledi,2021,166087
2021-01-01,Le Plane ELandile,2021,15511
2021-02-01,Dinaledi,2021,158028
2021-03-01,Dinaledi,2021,137303
2021-04-01,Dinaledi,2021,157489
2021-05-01,Dinaledi,2021,105483
2021-06-01,Ayeyeye,2021,25766
2021-06-01,Dinaledi,2021,95293
2021-07-01,Dinaledi,2021,118283
2021-08-01,Dinaledi,2021,49145
2022-02-01,BAKWA LAH,2022,328703
2022-03-01,BAKWA LAH,2022,532393
2022-04-01,BAKWA LAH,2022,336243
2022-05-01,BAKWA LAH,2022,265716
2022-06-01,BAKWA LAH,2022,243838
2022-07-01,BAKWA LAH,2022,125326
2022-08-01,BAKWA LAH,2022,27986
