date,name,category,value
2020-10-01,Murahu,2020,24640
2020-10-01,Sugar Sugar,2020,15482
2020-12-01,Murahu,2020,46340
2021-01-01,Murahu,2021,15992
2021-04-01,Mjolo,2021,23691
2021-05-01,Mjolo,2021,20825
2021-07-01,Ghanama,2021,97782
2021-08-01,Ghanama,2021,87413
2021-09-01,Connection,2021,25524
2021-09-01,Ghanama,2021,207298
2021-09-01,Hallelujah Amen,2021,23718
2021-09-01,Mjolo,2021,32495
2021-09-01,Salungano,2021,164602
2021-09-01,Tchukutsha,2021,24892
2021-09-01,Vhutshilo,2021,26889
2021-09-01,Zwivhuya,2021,34935
2021-10-01,Ghanama,2021,134556
2021-10-01,Salungano,2021,45786
2021-11-01,Ghanama,2021,111606
2021-12-01,Ghanama,2021,166550
2021-12-01,Ma Yellowbone,2021,25624
2021-12-01,Zwivhuya,2021,31850
2022-01-01,Ghanama,2022,36056
2022-01-01,Zwivhuya,2022,118313
2022-02-01,Kulakwe,2022,188847
2022-02-01,Zwivhuya,2022,25595
2022-03-01,Kulakwe,2022,191315
2022-04-01,Kulakwe,2022,123708
2022-04-01,Pain Ya Jealous,2022,28836
2022-05-01,Kulakwe,2022,26260
2022-06-01,MaGear,2022,33030
2022-07-01,MaGear,2022,27946
2022-08-01,MaGear,2022,60901
2022-09-01,MaGear,2022,164602
2022-09-01,Tsoko Tsoko,2022,29724
2022-10-01,MaGear,2022,37625
