date,name,category,value
2018-12-01,Skeleton Move,2018,7113
2019-01-01,Skeleton Move,2019,6036
2019-12-01,Jerusalema (feat. Nomcebo Zikode),2019,143199
2020-01-01,Jerusalema (feat. Nomcebo Zikode),2020,135683
2020-02-01,Jerusalema (feat. Nomcebo Zikode),2020,66516
2020-03-01,Jerusalema (feat. Nomcebo Zikode),2020,51756
2020-06-01,Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix,2020,26163
2020-07-01,Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix,2020,43495
2020-07-01,Jerusalema (feat. Nomcebo Zikode),2020,33472
2020-08-01,Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix,2020,64504
2020-08-01,Jerusalema (feat. Nomcebo Zikode),2020,107279
2020-09-01,Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix,2020,76977
2020-09-01,Jerusalema (feat. Nomcebo Zikode),2020,185504
2020-10-01,Jerusalema (feat. Nomcebo Zikode),2020,192380
2020-11-01,Jerusalema (feat. Nomcebo Zikode),2020,89681
2020-12-01,Jerusalema (feat. Nomcebo Zikode),2020,114265
2021-01-01,Jerusalema (feat. Nomcebo Zikode),2021,15677
2021-06-01,Shine Your Light (feat. Akon),2021,18986
