date,name,category,value
2021-09-01,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",2021,638202
2021-10-01,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",2021,442895
2021-11-01,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",2021,360432
2021-12-01,Beke le Beke (feat. Focalistic),2021,29047
2021-12-01,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",2021,420715
2021-12-01,Possessed Whistle,2021,58492
2021-12-01,Zwonaka,2021,230760
2022-01-01,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",2022,231782
2022-01-01,Zwonaka,2022,145764
2022-02-01,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",2022,172911
2022-02-01,Zwonaka,2022,25252
2022-03-01,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",2022,195348
2022-03-01,Your Body (feat. DJ Maphorisa),2022,55622
2022-04-01,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",2022,118096
2022-04-01,Chipi ke Chipi,2022,167972
2022-04-01,Umshini Ka Zuma (feat. M.J & Azi),2022,42459
2022-05-01,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",2022,30943
2022-05-01,Chipi ke Chipi,2022,326421
2022-05-01,Umshini Ka Zuma (feat. M.J & Azi),2022,64996
2022-06-01,Chipi ke Chipi,2022,314233
2022-07-01,Chipi ke Chipi,2022,190967
2022-07-01,"Wenza Kanjani (feat. 2woshort, TNK MusiQ & BoontleRSA)",2022,356011
2022-08-01,Chipi ke Chipi,2022,143813
2022-08-01,"Sporofita (feat. 2woshort, LastbornDiroba, Al xapo & Sunde)",2022,105718
2022-08-01,"Wenza Kanjani (feat. 2woshort, TNK MusiQ & BoontleRSA)",2022,317029
2022-09-01,Chipi ke Chipi,2022,62962
2022-09-01,"Wenza Kanjani (feat. 2woshort, TNK MusiQ & BoontleRSA)",2022,335926
2022-10-01,"Wenza Kanjani (feat. 2woshort, TNK MusiQ & BoontleRSA)",2022,217152
2022-11-01,Back2School (feat. Thabza Tee & LastBorn Diroba),2022,75510
2022-11-01,"Wenza Kanjani (feat. 2woshort, TNK MusiQ & BoontleRSA)",2022,40242
2022-12-01,Amasango (feat. SjavasDaDeejay & TitoM),2022,44465
2022-12-01,Back2School (feat. Thabza Tee & LastBorn Diroba),2022,34807
2023-01-01,Amasango (feat. SjavasDaDeejay & TitoM),2023,227989
2023-02-01,Amasango (feat. SjavasDaDeejay & TitoM),2023,269859
2023-03-01,Amasango (feat. SjavasDaDeejay & TitoM),2023,378001
2023-03-01,Amasango (feat. Sjavasdadeejay & TitoM),2023,100329
2023-03-01,Kwelinye (feat. Keynote),2023,303213
2023-04-01,Amasango (feat. SjavasDaDeejay & TitoM),2023,168757
2023-04-01,Amasango (feat. Sjavasdadeejay & TitoM),2023,200984
2023-04-01,Kwelinye (feat. Keynote),2023,536895
2023-04-01,"Thesha (feat. LeeMckrazy, TyroneDee & TitoM)",2023,337498
2023-05-01,Amasango (feat. Sjavasdadeejay & TitoM),2023,303893
2023-05-01,Kwelinye (feat. Keynote),2023,618331
2023-05-01,"Thesha (feat. LeeMckrazy, TyroneDee & TitoM)",2023,236084
2023-06-01,Amasango (feat. Sjavasdadeejay & TitoM),2023,325138
2023-06-01,Kwelinye (feat. Keynote),2023,724277
2023-06-01,"Thesha (feat. LeeMcKrazy, TyroneDee & TitoM)",2023,45232
2023-06-01,"Thesha (feat. LeeMckrazy, TyroneDee & TitoM)",2023,48982
2023-07-01,Amasango (feat. Sjavasdadeejay & TitoM),2023,213626
2023-07-01,Kwelinye (feat. Keynote),2023,523219
2023-08-01,Imnandi lento (feat. Tman Xpress),2023,502760
2023-08-01,Kwelinye (feat. Keynote),2023,731905
2023-09-01,Imnandi lento (feat. Tman Xpress),2023,2551810
2023-09-01,Kwelinye (feat. Keynote),2023,620546
2023-10-01,Imnandi lento (feat. Tman Xpress),2023,2457993
2023-10-01,Kwelinye (feat. Keynote),2023,476942
2023-11-01,Imnandi lento (feat. Tman Xpress),2023,2257242
2023-11-01,Kwelinye (feat. Keynote),2023,369586
2023-12-01,Imnandi lento (feat. Tman Xpress),2023,1949519
2023-12-01,Kwelinye (feat. Keynote),2023,355181
2023-12-01,Wang Compromisa (feat. Focalistic & Makhekhe Jr),2023,375067
2024-01-01,Imnandi lento (feat. Tman Xpress),2024,1150130
2024-01-01,Kwelinye (feat. Keynote),2024,92646
2024-01-01,Wang Compromisa (feat. Focalistic & Makhekhe Jr),2024,471686
2024-02-01,Imnandi lento (feat. Tman Xpress),2024,851955
2024-02-01,Kokotela (feat. Scotts Maphuma & Gipa),2024,99089
2024-02-01,Ukhathele (feat. Mashbeatz & Mdu aka TRP),2024,98764
2024-02-01,Wang Compromisa (feat. Focalistic & Makhekhe Jr),2024,228173
2024-03-01,Imnandi lento (feat. Tman Xpress),2024,576596
2024-03-01,Kokotela (feat. Scotts Maphuma & Gipa),2024,612169
2024-04-01,Imnandi lento (feat. Tman Xpress),2024,451333
2024-04-01,Kokotela (feat. Scotts Maphuma & Gipa),2024,547553
2024-04-01,"Ziyasha (feat. LeeMcKrazy, Amu Classic & Kappie)",2024,85035
2024-05-01,Imnandi lento (feat. Tman Xpress),2024,528166
2024-05-01,Kokotela (feat. Scotts Maphuma & Gipa),2024,896785
2024-06-01,Christmas Present,2024,171175
2024-06-01,Imnandi lento (feat. Tman Xpress),2024,77720
2024-06-01,Kokotela (feat. Scotts Maphuma & Gipa),2024,691034
2024-07-01,Christmas Present,2024,392690
2024-07-01,Imnandi lento (feat. Tman Xpress),2024,77408
2024-07-01,Kokotela (feat. Scotts Maphuma & Gipa),2024,604480
2024-08-01,Christmas Present,2024,495057
2024-08-01,Kokotela (feat. Scotts Maphuma & Gipa),2024,603528
2024-09-01,Christmas Present,2024,385225
2024-09-01,Imnandi lento (feat. Tman Xpress),2024,92090
2024-09-01,Kokotela (feat. Scotts Maphuma & Gipa),2024,95066
