date,name,category,value
2019-10-01,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",2019,11739
2019-11-01,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",2019,83575
2019-12-01,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",2019,120102
2020-01-01,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",2020,125499
2020-02-01,Lalela (feat. The Squad),2020,28897
2020-02-01,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",2020,92779
2020-03-01,Lalela (feat. The Squad),2020,12033
2020-03-01,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",2020,95127
2020-04-01,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",2020,54492
2020-05-01,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",2020,51501
2020-06-01,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",2020,56970
2020-08-01,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)",2020,33534
2020-09-01,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)",2020,101842
2020-10-01,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)",2020,216363
2020-11-01,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)",2020,141432
2020-12-01,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)",2020,196067
2021-01-01,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)",2021,88474
2021-02-01,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)",2021,78912
2021-03-01,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)",2021,17510
2021-04-01,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)",2021,40224
2021-11-01,uThando (feat. Aymos),2021,101191
2021-12-01,Konka,2021,95014
2021-12-01,uThando (feat. Aymos),2021,100358
2022-01-01,Konka,2022,25117
2023-07-01,The Game (Amapiano Bootleg),2023,49802
