date,name,category,value
2018-04-01,AmaBlesser (feat. DJ Maphorisa),2018,2807
2018-05-01,AmaBlesser (feat. DJ Maphorisa),2018,15122
2018-06-01,AmaBlesser (feat. DJ Maphorisa),2018,15541
2018-07-01,AmaBlesser (feat. DJ Maphorisa),2018,16354
2018-08-01,AmaBlesser (feat. DJ Maphorisa),2018,23093
2018-09-01,AmaBlesser (feat. DJ Maphorisa),2018,27687
2018-09-01,Ancestors,2018,5130
2018-09-01,Cold Summer (feat. Vyno Miller),2018,5398
2018-09-01,Egoli (feat. Sjava),2018,10363
2018-09-01,Emakhaya,2018,6485
2018-09-01,Imoto,2018,6366
2018-09-01,Lay'ndlini,2018,5417
2018-09-01,Lengoma,2018,5045
2018-09-01,"Macala (Radio Version) (feat. Sfeesoh, Kwesta & Thabsie)",2018,8013
2018-09-01,"Macala (feat. Sfeesoh, Kwesta & Thabsie)",2018,4998
2018-09-01,Usbahle,2018,8974
2018-09-01,Wamuhle (feat. Shwi Nomtekhala),2018,5140
2018-10-01,AmaBlesser (feat. DJ Maphorisa),2018,30692
2018-10-01,Egoli (feat. Sjava),2018,26856
2018-10-01,"Macala (Radio Version) (feat. Sfeesoh, Kwesta & Thabsie)",2018,19730
2018-10-01,Usbahle,2018,5650
2018-11-01,AmaBlesser (feat. DJ Maphorisa),2018,24162
2018-11-01,Egoli (feat. Sjava),2018,16794
2018-12-01,AmaBlesser (feat. DJ Maphorisa),2018,24340
2018-12-01,"Macala (Radio Version) (feat. Sfeesoh, Kwesta & Thabsie)",2018,19716
2019-01-01,AmaBlesser (feat. DJ Maphorisa),2019,5741
2019-01-01,"Macala (Radio Version) (feat. Sfeesoh, Kwesta & Thabsie)",2019,6137
2023-05-01,Mniki we Mali (feat. Kabza De Small & Shino Kikai),2023,51959
2023-06-01,Mniki we Mali (feat. Kabza De Small & Shino Kikai),2023,150201
2024-05-01,Emakhaya,2024,76354
