date,name,category,value
2020-05-01,Askies,2020,12792
2020-10-01,Vsop,2020,57318
2020-11-01,Monate,2020,37034
2020-11-01,Vsop,2020,117784
2020-11-01,uLazi,2020,26960
2020-12-01,Le Ngoma,2020,63268
2020-12-01,Monate,2020,130584
2020-12-01,Vsop,2020,211629
2020-12-01,uLazi,2020,266054
2021-01-01,Monate,2021,84061
2021-01-01,Vsop,2021,124993
2021-01-01,uLazi,2021,151471
2021-02-01,Monate,2021,125727
2021-02-01,Vsop,2021,114869
2021-02-01,uLazi,2021,135498
2021-03-01,Monate,2021,112172
2021-03-01,Vsop,2021,104311
2021-03-01,Woza,2021,63629
2021-03-01,uLazi,2021,165494
2021-04-01,Lerato,2021,44392
2021-04-01,Monate,2021,125755
2021-04-01,Picture JunkPark,2021,79563
2021-04-01,Vsop,2021,108872
2021-04-01,Woza,2021,364090
2021-04-01,uLazi,2021,225330
2021-05-01,Lerato,2021,27759
2021-05-01,Monate,2021,39774
2021-05-01,Picture JunkPark,2021,149659
2021-05-01,Woza,2021,307071
2021-05-01,uLazi,2021,109824
2021-06-01,Picture JunkPark,2021,112618
2021-06-01,Woza,2021,281757
2021-06-01,uLazi,2021,90389
2021-07-01,Picture JunkPark,2021,43990
2021-07-01,Woza,2021,208887
2021-08-01,Woza,2021,140758
2021-09-01,Ungangi Bambi (feat. Khanyisa),2021,199119
2021-09-01,Woza,2021,213692
2021-10-01,Ungangi Bambi (feat. Khanyisa),2021,187734
2021-10-01,Woza,2021,162986
2021-11-01,Ungangi Bambi (feat. Khanyisa),2021,139972
2021-11-01,Woza,2021,121481
2021-12-01,"10111 (feat. M.J, Djy Ma'Ten & Matute Boy)",2021,131284
2021-12-01,Ungangi Bambi (feat. Khanyisa),2021,138268
2021-12-01,Woza,2021,186685
2022-01-01,"10111 (feat. M.J, Djy Ma'Ten & Matute Boy)",2022,191223
2022-01-01,Halala (feat. Mellow & Sleazy),2022,153355
2022-01-01,Woza,2022,112653
2022-02-01,"10111 (feat. M.J, Djy Ma'Ten & Matute Boy)",2022,130066
2022-02-01,Hade (feat. Dinky Kunene & Mellow & Sleazy),2022,26597
2022-02-01,Halala (feat. Mellow & Sleazy),2022,196716
2022-02-01,Teka (feat. Mellow & Sleazy & Djy Ma'Ten),2022,207114
2022-02-01,Woza,2022,23837
2022-03-01,"10111 (feat. M.J, Djy Ma'Ten & Matute Boy)",2022,131772
2022-03-01,Hade (feat. Dinky Kunene & Mellow & Sleazy),2022,172068
2022-03-01,Halala (feat. Mellow & Sleazy),2022,339534
2022-03-01,"Intsimbi Edlezinye (feat. M.J, F3 Dipapa & Toss)",2022,38913
2022-03-01,Teka (feat. Mellow & Sleazy & Djy Ma'Ten),2022,211461
2022-04-01,Hade (feat. Dinky Kunene & Mellow & Sleazy),2022,50333
2022-04-01,Halala (feat. Mellow & Sleazy),2022,258092
2022-04-01,"Intsimbi Edlezinye (feat. M.J, F3 Dipapa & Toss)",2022,26865
2022-04-01,Teka (feat. Mellow & Sleazy & Djy Ma'Ten),2022,118644
2022-05-01,Halala (feat. Mellow & Sleazy),2022,225708
2022-05-01,Teka (feat. Mellow & Sleazy & Djy Ma'Ten),2022,28243
2022-06-01,Halala (feat. Mellow & Sleazy),2022,233272
2022-07-01,Halala (feat. Mellow & Sleazy),2022,145594
2022-08-01,"Baleka (feat. Nokwazi, DJ Biza & Tsiki XII)",2022,88824
2022-08-01,Bizaza (feat. DJ Biza & Zan'Ten),2022,34662
2022-08-01,Crows (feat. Zan'Ten & Kyika),2022,65005
2022-08-01,Halala (feat. Mellow & Sleazy),2022,71926
2022-08-01,Ningalali Emakhaya (feat. Zan'Ten & Ta Skippa),2022,79151
2022-09-01,"Baleka (feat. Nokwazi, DJ Biza & Tsiki XII)",2022,37164
2022-09-01,Bizaza (feat. DJ Biza & Zan'Ten),2022,34772
2022-09-01,Ningalali Emakhaya (feat. Zan'Ten & Ta Skippa),2022,42187
