date,name,category,value
2022-11-01,Hlasela,2022,137136
2022-12-01,Hlasela,2022,79806
2023-03-01,Esangweni,2023,137928
2023-03-01,Wena Dali,2023,107672
2023-04-01,Esangweni,2023,293102
2023-04-01,Imvula,2023,44142
2023-04-01,Wena Dali,2023,354638
2023-05-01,Esangweni,2023,378453
2023-05-01,Imvula,2023,52472
2023-05-01,Wena Dali,2023,499253
2023-06-01,Esangweni,2023,391928
2023-06-01,Wena Dali,2023,504560
2023-07-01,Esangweni,2023,357013
2023-07-01,Wena Dali,2023,444852
2023-08-01,Esangweni,2023,354142
2023-08-01,Wena Dali,2023,643772
2023-09-01,Esangweni,2023,245016
2023-09-01,Wena Dali,2023,486568
2023-10-01,Esangweni,2023,62426
2023-10-01,Wena Dali,2023,390679
2023-11-01,Wena Dali,2023,255300
2023-12-01,Esangweni,2023,216729
2023-12-01,Wena Dali,2023,334652
2024-01-01,Esangweni,2024,66921
2024-01-01,Wena Dali,2024,81671
