date,name,category,value
2020-12-01,Samarian Boy,2020,158363
2021-01-01,Samarian Boy,2021,101593
2021-02-01,Samarian Boy,2021,89584
2021-03-01,Samarian Boy,2021,122954
2021-03-01,Vula Mlomo,2021,92623
2021-04-01,Samarian Boy,2021,172980
2021-04-01,Vula Mlomo,2021,450165
2021-05-01,Samarian Boy,2021,105884
2021-05-01,Vula Mlomo,2021,338554
2021-06-01,Samarian Boy,2021,99438
2021-06-01,Vula Mlomo,2021,315735
2021-07-01,Samarian Boy,2021,20893
2021-07-01,Vula Mlomo,2021,276882
2021-08-01,Samarian Boy,2021,66517
2021-08-01,Vula Mlomo,2021,229122
2021-09-01,Samarian Boy,2021,45094
2021-09-01,Vula Mlomo,2021,190800
2021-10-01,Selema (Po Po),2021,37359
2021-10-01,Vula Mlomo,2021,121294
2021-11-01,Thando Lwami,2021,36843
2021-11-01,Vula Mlomo,2021,25350
2021-12-01,Thando Lwami,2021,91593
2021-12-01,Vula Mlomo,2021,137910
2022-01-01,Vula Mlomo,2022,25799
2022-02-01,Selema (Po Po),2022,125117
2022-03-01,Selema (Po Po),2022,307867
2022-04-01,Selema (Po Po),2022,336172
2022-05-01,Selema (Po Po),2022,330591
2022-06-01,Selema (Po Po),2022,378609
2022-07-01,Selema (Po Po),2022,269908
2022-08-01,Selema (Po Po),2022,222626
2022-09-01,Selema (Po Po),2022,262733
2022-10-01,Selema (Po Po),2022,204343
2022-11-01,Selema (Po Po),2022,170114
2022-12-01,Selema (Po Po),2022,127202
