date,name,category,value
2022-11-01,Tobetsa,2022,298515
2022-12-01,Tobetsa,2022,1093304
2022-12-01,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",2022,662745
2023-01-01,Tobetsa,2023,379388
2023-01-01,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",2023,624400
2023-02-01,Tobetsa,2023,206537
2023-02-01,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",2023,544401
2023-03-01,"EVERYDAY iParty Waya Waya (feat. Dr Peppa, Lady Du, ShaunMusiQ, Ftears & Mellow & Sleazy)",2023,380753
2023-03-01,Tobetsa,2023,89201
2023-03-01,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",2023,672817
2023-04-01,"EVERYDAY iParty Waya Waya (feat. Dr Peppa, Lady Du, ShaunMusiQ, Ftears & Mellow & Sleazy)",2023,207744
2023-04-01,Tobetsa,2023,42830
2023-04-01,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",2023,425392
2023-05-01,"EVERYDAY iParty Waya Waya (feat. Dr Peppa, Lady Du, ShaunMusiQ, Ftears & Mellow & Sleazy)",2023,42646
2023-05-01,"Myztro Ah Ah (feat. Xduppy, ShaunMusiQ & Ftears)",2023,247365
2023-05-01,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",2023,360855
2023-06-01,"Kunkra (feat. Xduppy, Shaunmusiq & Ftears)",2023,615706
2023-06-01,Myztro Ah Ah (feat. Xduppy & ShaunMusiq & Ftears),2023,159502
2023-06-01,"Myztro Ah Ah (feat. Xduppy, ShaunMusiQ & Ftears)",2023,599211
2023-06-01,"Tobetsa Remake (feat. Focalistic, Daliwonga & ShaunMusiq & Ftears)",2023,81374
2023-06-01,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",2023,317033
2023-07-01,"Kunkra (feat. Xduppy, Shaunmusiq & Ftears)",2023,940642
2023-07-01,"Myztro Ah Ah (feat. Xduppy, ShaunMusiQ & Ftears)",2023,431067
2023-07-01,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",2023,267376
2023-08-01,"Kunkra (feat. Xduppy, Shaunmusiq & Ftears)",2023,854550
2023-08-01,"Myztro Ah Ah (feat. Xduppy, ShaunMusiQ & Ftears)",2023,366344
2023-08-01,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",2023,232161
2023-09-01,"Kunkra (feat. Xduppy, Shaunmusiq & Ftears)",2023,498583
2023-09-01,"Myztro Ah Ah (feat. Xduppy, ShaunMusiQ & Ftears)",2023,48513
2023-10-01,Kunkra (feat. Xduppy & ShaunMusiq & Ftears),2023,163255
2023-10-01,"Kunkra (feat. Xduppy, Shaunmusiq & Ftears)",2023,228899
2023-11-01,Kunkra (feat. Xduppy & ShaunMusiq & Ftears),2023,356163
2023-12-01,Kunkra (feat. Xduppy & ShaunMusiq & Ftears),2023,337754
2024-01-01,Kunkra (feat. Xduppy & ShaunMusiq & Ftears),2024,79409
