date,name,category,value
2023-11-01,"Banike (feat. Philharmonic, LeeMcKrazy)",2023,454070
2023-11-01,Ivale Mfana,2023,243710
2023-12-01,"Banike (feat. Philharmonic, LeeMcKrazy)",2023,834816
2023-12-01,Ivale Mfana,2023,141871
2024-01-01,"Banike (feat. Philharmonic, LeeMcKrazy)",2024,554360
2024-01-01,Forgive Our Trespasses (feat. Demola),2024,368097
2024-02-01,"Banike (feat. Philharmonic, LeeMcKrazy)",2024,435025
2024-02-01,Forgive Our Trespasses (feat. Demola),2024,771358
2024-03-01,"Banike (feat. Philharmonic, LeeMcKrazy)",2024,75991
2024-03-01,Forgive Our Trespasses (feat. Demola),2024,162493
2024-03-01,"Forgive Our Trespasses (feat. Demola, Ceeka RSA)",2024,143531
