date,name,category,value
2018-03-01,Said,2018,2086
2018-06-01,Jungle,2018,4381
2018-06-01,King,2018,27136
2018-07-01,Another One Down,2018,5616
2018-07-01,Blisters,2018,11700
2018-07-01,Casanova,2018,5519
2018-07-01,Do U Digg,2018,10899
2018-07-01,Everything,2018,5755
2018-07-01,Givenchy,2018,5625
2018-07-01,Gravy,2018,6434
2018-07-01,Jiggy Jigga,2018,12974
2018-07-01,Jungle,2018,19094
2018-07-01,King,2018,27944
2018-07-01,Legendary,2018,16704
2018-07-01,Mrs Me,2018,17071
2018-07-01,My Baby,2018,5537
2018-07-01,No Respect,2018,11095
2018-07-01,SMA,2018,18694
2018-07-01,Strings And Bling,2018,16658
2018-07-01,U Played Yourself,2018,6471
2018-08-01,Jungle,2018,3872
2018-08-01,King,2018,19924
2018-08-01,Mrs Me,2018,3899
2018-08-01,SMA,2018,16673
2018-10-01,King,2018,11364
2019-03-01,SMA,2019,19013
2019-04-01,SMA,2019,47393
2019-05-01,SMA,2019,63577
2019-06-01,SMA,2019,57064
2019-07-01,SMA,2019,59556
2019-08-01,SMA,2019,70223
2019-09-01,SMA,2019,32313
2019-10-01,God Flow,2019,71593
2019-10-01,SMA,2019,8715
2019-11-01,God Flow,2019,10301
2020-04-01,There They Go,2020,107104
2020-05-01,"I Need You - From the Netflix original series ""Blood & Water""",2020,26773
2020-05-01,There They Go,2020,55008
2020-06-01,Eazy,2020,91688
2020-06-01,"I Need You - From the Netflix original series ""Blood & Water""",2020,44185
2020-06-01,There They Go,2020,52504
2020-06-01,They Don't,2020,53286
2020-07-01,Eazy,2020,108314
2020-07-01,There They Go,2020,12983
2020-08-01,Eazy,2020,80380
2020-08-01,Palm Trees,2020,43476
2020-08-01,Zulu Man,2020,34588
2020-09-01,Ababulali,2020,30243
2020-09-01,All In,2020,35839
2020-09-01,Black And White,2020,53856
2020-09-01,Bookoo Bucks,2020,124742
2020-09-01,Deep Pockets,2020,28274
2020-09-01,Eazy,2020,127228
2020-09-01,Feeling,2020,37696
2020-09-01,How Many Times,2020,32766
2020-09-01,King Shit,2020,60099
2020-09-01,La Vida Loca,2020,38000
2020-09-01,Lose Some Win Some,2020,31193
2020-09-01,Overpriced Steak,2020,37136
2020-09-01,Palm Trees,2020,50473
2020-09-01,Sad Boys,2020,30126
2020-09-01,Steve Biko,2020,59404
2020-09-01,Thats Hard,2020,42257
2020-09-01,There They Go,2020,27661
2020-09-01,They Don't,2020,25009
2020-09-01,Zone,2020,37780
2020-09-01,Zulu Man,2020,53554
2020-10-01,Bookoo Bucks,2020,49049
2020-10-01,Eazy,2020,90975
2021-06-01,Best I Ever Had,2021,98896
2021-07-01,Best I Ever Had,2021,42865
2021-07-01,Jack,2021,249828
2021-08-01,Jack,2021,124967
2021-09-01,Jack,2021,104022
2022-02-01,Stalling,2022,174304
2022-03-01,Cant Imagine,2022,82124
2022-03-01,Stalling,2022,179815
2022-04-01,Cant Imagine,2022,111899
2022-04-01,Stalling,2022,102577
2022-05-01,Stalling,2022,49869
2022-09-01,Aye,2022,95935
2022-09-01,B@r,2022,47364
2022-09-01,Born To Win,2022,155796
2022-09-01,Can't Imagine (Bonus Track),2022,43837
2022-09-01,Extravagant,2022,56338
2022-09-01,Import,2022,42831
2022-09-01,Let's Go,2022,39785
2022-09-01,Loco,2022,56679
2022-09-01,Stalling (Bonus Track),2022,39719
2022-09-01,What I Like,2022,50868
2022-10-01,Born To Win,2022,67415
