date,name,category,value
2023-03-01,Ring Ring Ring,2023,280301
2023-04-01,Ring Ring Ring,2023,91522
2023-06-01,"Amaphutha (feat. Master KG, Lowsheen & Murumba Pitch)",2023,318882
2023-06-01,Valentines (feat. Kabza De Small),2023,89257
2023-07-01,"Amaphutha (feat. Master KG, Lowsheen & Murumba Pitch)",2023,144490
2023-07-01,Valentines (feat. Kabza De Small),2023,49706
2023-11-01,"Amaphutha (feat. Master KG, Lowsheen & Murumba Pitch)",2023,80498
2023-11-01,Amaphutha (feat. Murumba Pitch),2023,68341
2023-12-01,"Amaphutha (feat. Master KG, Lowsheen & Murumba Pitch)",2023,392703
2024-01-01,"Amaphutha (feat. Master KG, Lowsheen & Murumba Pitch)",2024,286342
2024-02-01,"Amaphutha (feat. Master KG, Lowsheen & Murumba Pitch)",2024,65160
