date,name,category,value
2020-08-01,Xola Moya Wam',2020,89628
2020-09-01,Imizamo Yami,2020,66545
2020-09-01,Xola Moya Wam',2020,315420
2020-09-01,Xola Moya Wam' (Radio edit),2020,15159
2020-10-01,Bayabuza,2020,48098
2020-10-01,Imizamo Yami,2020,46095
2020-10-01,Xola Moya Wam',2020,289347
2020-11-01,Bayabuza,2020,16243
2020-11-01,Xola Moya Wam',2020,158215
2020-12-01,Xola Moya Wam',2020,189695
2021-01-01,Xola Moya Wam',2021,82324
2021-02-01,Xola Moya Wam',2021,19135
2021-03-01,Xola Moya Wam',2021,17500
2023-11-01,iNkanyezi (feat. Exclusive Drumz),2023,159211
2023-12-01,iNkanyezi (feat. Exclusive Drumz),2023,298724
