date,name,category,value
2021-08-01,Isphithiphithi,2021,209308
2021-09-01,Isphithiphithi,2021,481126
2021-10-01,Isphithiphithi,2021,292100
2021-11-01,Isphithiphithi,2021,194262
2021-12-01,Isphithiphithi,2021,200453
2022-01-01,Isphithiphithi,2022,36226
2022-03-01,Banyana Ke Bafana,2022,105081
2022-04-01,Banyana Ke Bafana,2022,335734
2022-05-01,Banyana Ke Bafana,2022,287303
2022-06-01,Banyana Ke Bafana,2022,242081
2022-07-01,Banyana Ke Bafana,2022,139763
2022-08-01,Banyana Ke Bafana,2022,68595
2022-10-01,Waga Bietjie,2022,285704
2022-11-01,Waga Bietjie,2022,218698
2022-12-01,Waga Bietjie,2022,449243
2023-01-01,Waga Bietjie,2023,286724
2023-02-01,Waga Bietjie,2023,253615
2023-03-01,Waga Bietjie,2023,294903
2023-04-01,Waga Bietjie,2023,208713
2023-05-01,Dali Wam,2023,138112
2023-05-01,Waga Bietjie,2023,112068
2023-06-01,Dali Wam,2023,421582
2023-06-01,Dali Wam (feat. Nkosazana Daughter),2023,119953
2023-07-01,Dali Wam,2023,397718
2023-08-01,Dali Wam,2023,529304
2023-09-01,Dali Wam,2023,280296
2023-10-01,Dali Wam,2023,117815
2024-10-01,Pabi Jo (feat. Lajere man & DJ DADAMAN),2024,89796
