date,name,category,value
2022-12-01,ZoTata (feat. Mr JazziQ),2022,405558
2023-01-01,ZoTata (feat. Mr JazziQ),2023,576583
2023-02-01,"Kilimanjaro (feat. Justin99, Mema_Percent & Mr JazziQ)",2023,119618
2023-02-01,ZoTata (feat. Mr JazziQ),2023,531458
2023-03-01,Johnny ke Johnny (feat. Papi_SA),2023,56164
2023-03-01,"Kilimanjaro (feat. Justin99, Mema_Percent & Mr JazziQ)",2023,1173915
2023-03-01,ZoTata (feat. Mr JazziQ),2023,654426
2023-04-01,Johnny ke Johnny (feat. Papi_SA),2023,379410
2023-04-01,"Kilimanjaro (feat. Justin99, Mema_Percent & Mr JazziQ)",2023,767030
2023-04-01,ZoTata (feat. Mr JazziQ),2023,422439
2023-05-01,Johnny ke Johnny (feat. Papi_SA),2023,437095
2023-05-01,"Kilimanjaro (feat. Justin99, Mema_Percent & Mr JazziQ)",2023,591212
2023-05-01,"Ngenza ngama bomu (feat. Mr JazziQ, Umthakathi Kush & Sizwe Alakine)",2023,82301
2023-05-01,ZoTata (feat. Mr JazziQ),2023,332584
2023-06-01,Johnny ke Johnny (feat. Papi_SA),2023,438037
2023-06-01,"Kilimanjaro (feat. Justin99, Mema_Percent & Mr JazziQ)",2023,547976
2023-06-01,"Ngenza ngama bomu (feat. Mr JazziQ, Umthakathi Kush & Sizwe Alakine)",2023,126734
2023-06-01,ZoTata (feat. Mr JazziQ),2023,360637
2023-07-01,Johnny ke Johnny (feat. Papi_SA),2023,260176
2023-07-01,"Kilimanjaro (feat. Justin99, Mema_Percent & Mr JazziQ)",2023,321091
2023-07-01,ZoTata (feat. Mr JazziQ),2023,220386
2023-08-01,"Kilimanjaro (feat. Justin99, Mema_Percent & Mr JazziQ)",2023,290016
2023-12-01,Gabriella (feat. Officixl RSA),2023,214196
2024-01-01,Gabriella (feat. Officixl RSA),2024,462963
2024-02-01,Gabriella (feat. Officixl RSA),2024,441223
2024-03-01,Gabriella (feat. Officixl RSA),2024,333697
2024-04-01,Gabriella (feat. Officixl RSA),2024,147285
2024-05-01,Gabriella (feat. Officixl RSA),2024,320328
2024-06-01,Gabriella (feat. Officixl RSA),2024,74537
