date,name,category,value
2018-03-01,Club Controller,2018,3549
2018-04-01,Club Controller,2018,15854
2018-05-01,Club Controller,2018,20727
2018-06-01,Club Controller,2018,16449
2018-07-01,Club Controller,2018,10767
2018-08-01,Club Controller,2018,8835
2018-09-01,Banomoya,2018,28291
2018-10-01,Banomoya,2018,38086
2018-11-01,Banomoya,2018,58551
2018-12-01,Banomoya,2018,62665
2019-01-01,Banomoya,2019,59423
2019-02-01,Banomoya,2019,33731
2019-02-01,Fetch Your Life - Edit,2019,31592
2019-03-01,Banomoya,2019,36889
2019-03-01,Fetch Your Life,2019,6897
2019-03-01,Fetch Your Life - Edit,2019,46291
2019-03-01,The Weekend,2019,8463
2019-04-01,Banomoya,2019,22017
2019-04-01,Fetch Your Life - Edit,2019,50399
2019-04-01,Gugulethu,2019,15526
2019-05-01,Banomoya,2019,6546
2019-05-01,Fetch Your Life - Edit,2019,70755
2019-05-01,Gugulethu,2019,60168
2019-06-01,Fetch Your Life - Edit,2019,58611
2019-06-01,Gugulethu,2019,52966
2019-07-01,Fetch Your Life - Edit,2019,64685
2019-07-01,Gugulethu,2019,52725
2019-08-01,Fetch Your Life - Edit,2019,84972
2019-08-01,Gugulethu,2019,66219
2019-09-01,Fetch Your Life - Edit,2019,67482
2019-09-01,Gugulethu,2019,44919
2019-10-01,Fetch Your Life - Edit,2019,69940
2019-10-01,Gugulethu,2019,9433
2019-11-01,Fetch Your Life - Edit,2019,50117
2019-12-01,Fetch Your Life - Edit,2019,59851
2020-01-01,Fetch Your Life - Edit,2020,25440
