date,name,category,value
2021-11-01,Ziyakhala,2021,40108
2022-08-01,Alusafani,2022,60113
2022-09-01,Alusafani,2022,180372
2022-10-01,Alusafani,2022,143057
2022-11-01,Alusafani,2022,158020
2022-12-01,Alusafani,2022,197762
2022-12-01,Sobonana,2022,39229
2023-01-01,Alusafani,2023,71883
2023-02-01,Sobonana,2023,39984
2023-03-01,Alusafani,2023,56508
2023-03-01,Sobonana,2023,152784
2023-04-01,Alusafani,2023,133494
2023-04-01,Sobonana,2023,194428
2023-05-01,Sobonana,2023,181244
2023-06-01,Sobonana,2023,44214
2024-04-01,Umalambana,2024,79091
2024-05-01,Umalambana,2024,507111
2024-06-01,Umalambana,2024,360187
2024-07-01,Umalambana,2024,155908
2024-08-01,Umalambana,2024,264891
2024-09-01,Nhliziyo Yami,2024,501943
2024-10-01,Nhliziyo Yami,2024,568675
