date,name,category,value
2020-08-01,Jazzidisciples (Zlele),2020,17887
2020-09-01,Jazzidisciples (Zlele),2020,149287
2020-10-01,Jazzidisciples (Zlele),2020,233555
2020-11-01,Jazzidisciples (Zlele),2020,157955
2020-11-01,Sithi Sithi,2020,74996
2020-12-01,Jazzidisciples (Zlele),2020,237128
2020-12-01,Sithi Sithi,2020,274186
2021-01-01,Jazzidisciples (Zlele),2021,106537
2021-01-01,Sithi Sithi,2021,145378
2021-02-01,Jazzidisciples (Zlele),2021,85609
2021-02-01,Sithi Sithi,2021,163734
2021-03-01,Sithi Sithi,2021,144667
2021-04-01,Sithi Sithi,2021,148995
2021-10-01,Iyntsimbi zase envy,2021,178307
2021-11-01,Iyntsimbi zase envy,2021,166639
2021-12-01,Iyntsimbi zase envy,2021,220448
2022-01-01,Iyntsimbi zase envy,2022,222810
2022-02-01,Iyntsimbi zase envy,2022,219353
2022-02-01,Megalo,2022,130608
2022-03-01,Iyntsimbi zase envy,2022,300857
2022-03-01,Megalo,2022,310814
2022-04-01,Iyntsimbi zase envy,2022,207581
2022-04-01,Megalo,2022,216029
2022-05-01,Iyntsimbi zase envy,2022,177991
2022-05-01,Megalo,2022,176743
2022-06-01,Iyntsimbi zase envy,2022,166244
2022-06-01,Megalo,2022,169560
2022-07-01,Iyntsimbi zase envy,2022,110339
2022-07-01,Megalo,2022,120347
