date,name,category,value
2019-09-01,Ride It,2019,37477
2019-10-01,Ride It,2019,124114
2019-11-01,Ride It,2019,116328
2019-12-01,Ride It,2019,104254
2020-01-01,Ride It,2020,129646
2020-02-01,Ride It,2020,106378
2020-03-01,Ride It,2020,103942
2020-04-01,Ride It,2020,112256
2020-05-01,Ride It,2020,84494
2020-06-01,Ride It,2020,75841
2020-07-01,Ride It,2020,97730
2020-07-01,Secrets,2020,13111
2020-08-01,Ride It,2020,83879
2020-08-01,Secrets,2020,42353
2020-09-01,Ride It,2020,86695
2020-09-01,Secrets,2020,48349
2020-10-01,Ride It,2020,108114
2020-11-01,Ride It,2020,87646
2020-12-01,Ride It,2020,118996
2021-01-01,Ride It,2021,93015
2021-02-01,Ride It,2021,86854
2021-03-01,Ride It,2021,83155
2021-04-01,Ride It,2021,97689
2021-04-01,You,2021,18832
2021-05-01,Ride It,2021,19485
2021-05-01,You,2021,19415
