date,name,category,value
2020-12-01,Spontaan,2020,37227
2021-01-01,Spontaan,2021,34382
2021-02-01,Spontaan,2021,70780
2021-03-01,Spontaan,2021,80928
2021-04-01,Spontaan,2021,120969
2021-04-01,Vat 'n Bietjie,2021,19738
2021-05-01,Spontaan,2021,99731
2021-05-01,Vat 'n Bietjie,2021,77606
2021-06-01,Spontaan,2021,94449
2021-06-01,Vat 'n Bietjie,2021,88442
2021-07-01,Spontaan,2021,106415
2021-07-01,Vat 'n Bietjie,2021,110115
2021-08-01,Spontaan,2021,100399
2021-08-01,Vat 'n Bietjie,2021,102724
2021-09-01,Spontaan,2021,125227
2021-09-01,Vat 'n Bietjie,2021,151386
2021-10-01,Spontaan,2021,104668
2021-10-01,Vat 'n Bietjie,2021,120842
2021-11-01,Spontaan,2021,105969
2021-11-01,Vat 'n Bietjie,2021,128906
2021-12-01,Spontaan,2021,140020
2021-12-01,Vat 'n Bietjie,2021,173261
2022-01-01,Spontaan,2022,110362
2022-01-01,Vat 'n Bietjie,2022,126701
2022-02-01,Rowwe Bliksem,2022,204850
2022-02-01,Spontaan,2022,114786
2022-02-01,Vat 'n Bietjie,2022,126838
2022-03-01,Rowwe Bliksem,2022,234971
2022-03-01,Spontaan,2022,139838
2022-03-01,Vat 'n Bietjie,2022,156123
2022-04-01,Rowwe Bliksem,2022,165458
2022-04-01,Spontaan,2022,107645
2022-04-01,Vat 'n Bietjie,2022,121948
2022-05-01,Rowwe Bliksem,2022,157424
2022-05-01,Spontaan,2022,79719
2022-05-01,Vat 'n Bietjie,2022,117671
2022-06-01,Rowwe Bliksem,2022,179003
2022-06-01,Spontaan,2022,81562
2022-06-01,Vat 'n Bietjie,2022,152403
2022-07-01,Haai Haai,2022,26441
2022-07-01,Rowwe Bliksem,2022,149894
2022-07-01,Spontaan,2022,107610
2022-07-01,Vat 'n Bietjie,2022,130724
2022-08-01,Rowwe Bliksem,2022,151723
2022-08-01,Spontaan,2022,87745
2022-08-01,Vat 'n Bietjie,2022,138123
2022-09-01,Rowwe Bliksem,2022,173511
2022-09-01,Spontaan,2022,30185
2022-09-01,Vat 'n Bietjie,2022,162480
2022-10-01,Rowwe Bliksem,2022,38571
2022-10-01,Spontaan,2022,32119
2022-10-01,Vat 'n Bietjie,2022,38015
