date,name,category,value
2018-12-01,Hardekole,2018,13372
2019-01-01,Hardekole,2019,6969
2019-06-01,Boerepompie (feat. Snotkop),2019,14961
2019-07-01,Boerepompie (feat. Snotkop),2019,34643
2019-08-01,Boerepompie (feat. Snotkop),2019,56942
2019-09-01,Boerepompie (feat. Snotkop),2019,51897
2019-10-01,Boerepompie (feat. Snotkop),2019,57413
2019-11-01,Boerepompie (feat. Snotkop),2019,45968
2019-12-01,Boerepompie (feat. Snotkop),2019,52986
2020-01-01,Boerepompie (feat. Snotkop),2020,25002
2020-01-01,Hardekole,2020,10654
2020-08-01,Hardekole,2020,27126
2020-09-01,Boerepompie (feat. Snotkop),2020,33929
2020-09-01,Hardekole,2020,48470
2020-10-01,Boerepompie (feat. Snotkop),2020,61395
2020-10-01,Hardekole,2020,63624
2020-11-01,Boerepompie (feat. Snotkop),2020,15661
2020-12-01,Boerepompie (feat. Snotkop),2020,64230
2020-12-01,Hardekole,2020,41934
2021-10-01,Ploeg Jy?,2021,45279
2021-12-01,Hardekole,2021,26025
2021-12-01,Ploeg Jy?,2021,27051
2022-01-01,Boerepompie (feat. Snotkop),2022,23247
2022-01-01,Hardekole,2022,24175
2022-01-01,Ploeg Jy?,2022,25907
