date,name,category,value
2018-09-01,I Can't Believe It,2018,4914
2019-02-01,You And I (feat. Mlindo The Vocalist),2019,8673
2020-10-01,HOME (feat. Mas Musiq),2020,16050
2020-10-01,UNGAZINCISHI (feat. Focalistic & Tyler ICU),2020,117644
2020-11-01,UNGAZINCISHI (feat. Focalistic & Tyler ICU),2020,88326
2020-12-01,UNGAZINCISHI (feat. Focalistic & Tyler ICU),2020,106471
2022-02-01,HOME (feat. Mas Musiq),2022,43464
2022-02-01,You And I (feat. Mlindo The Vocalist),2022,30608
2022-03-01,HOME (feat. Mas Musiq),2022,133480
2022-03-01,Sidlukotini,2022,32585
2022-03-01,"Stay Shining (feat. Cassper Nyovest, Professor, Major League & Alie-Keyz)",2022,30804
2022-03-01,UNGAZINCISHI (feat. Focalistic & Tyler ICU),2022,28994
2022-03-01,You And I (feat. Mlindo The Vocalist),2022,69907
