date,name,category,value
2019-09-01,Akulaleki,2019,127813
2019-09-01,AmaDM,2019,16696
2019-09-01,Lotto,2019,12078
2019-09-01,Omama Bomthandazo,2019,14574
2019-09-01,Sebenzela nina,2019,9498
2019-10-01,Akulaleki,2019,203925
2019-10-01,AmaDM,2019,75181
2019-10-01,Lotto,2019,10236
2019-10-01,Omama Bomthandazo,2019,31487
2019-10-01,Sebenzela nina,2019,51947
2019-11-01,Akulaleki,2019,151917
2019-11-01,AmaDM,2019,66473
2019-11-01,Sebenzela nina,2019,20178
2019-12-01,Akulaleki,2019,172265
2019-12-01,AmaDM,2019,77473
2019-12-01,Lotto,2019,10743
2020-01-01,Akulaleki,2020,143736
2020-01-01,AmaDM,2020,71752
2020-02-01,Akulaleki,2020,81955
2020-02-01,AmaDM,2020,13038
2020-03-01,Akulaleki,2020,67040
2020-11-01,Weekend,2020,21965
2020-12-01,Chomi,2020,20706
2020-12-01,Weekend,2020,96801
2022-06-01,Amagents,2022,209969
2022-07-01,Amagents,2022,348891
2022-08-01,Amagents,2022,263029
2022-09-01,Amagents,2022,261156
2022-10-01,Amagents,2022,162732
