date,name,category,value
2019-10-01,Labantwana Ama Uber,2019,132254
2019-11-01,Labantwana Ama Uber,2019,113980
2019-12-01,Labantwana Ama Uber,2019,149479
2020-01-01,Labantwana Ama Uber,2020,126189
2020-02-01,Labantwana Ama Uber,2020,54742
2020-03-01,Labantwana Ama Uber,2020,12662
2021-03-01,Isingisi,2021,21235
2021-04-01,Isingisi,2021,138023
2021-05-01,Isingisi,2021,252256
2021-06-01,Isingisi,2021,251156
2021-07-01,Isingisi,2021,225938
2021-08-01,Isingisi,2021,173785
2021-09-01,Isingisi,2021,114559
2021-10-01,Isingisi,2021,44497
