date,name,category,value
2019-10-01,Abondaba (feat. Samthing Soweto),2019,9758
2019-10-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2019,18146
2019-11-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2019,101946
2019-12-01,Something About You (feat. DJ Maphorisa & Kabza De Small),2019,66272
2019-12-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2019,146630
2020-01-01,Something About You (feat. DJ Maphorisa & Kabza De Small),2020,72477
2020-01-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,155412
2020-02-01,Something About You (feat. DJ Maphorisa & Kabza De Small),2020,54931
2020-02-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,129250
2020-03-01,Something About You (feat. DJ Maphorisa & Kabza De Small),2020,38866
2020-03-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,136947
2020-04-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,93238
2020-05-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,64408
2020-06-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,71723
2020-07-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,93148
2020-08-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,82519
2020-09-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,92475
2020-10-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,108473
2020-11-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,67650
2020-12-01,Tender Love (feat. DJ Maphorisa & Kabza De Small),2020,95364
2020-12-01,Woza (Radio Edit),2020,18039
2021-12-01,iPiano (feat. Felo Le Tee),2021,62043
2022-09-01,"Fast Car (feat. Mellow & Sleazy, Mas Musiq & Soa mattrix)",2022,39303
2022-09-01,Trying (feat. Musa Keys & DJ Maphorisa),2022,35827
2022-10-01,"Fast Car (feat. Mellow & Sleazy, Mas Musiq & Soa mattrix)",2022,35764
2022-10-01,Trying (feat. Musa Keys & DJ Maphorisa),2022,33924
2024-10-01,Ndawana,2024,318732
