date,name,category,value
2023-06-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,164487
2023-10-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,176112
2023-10-01,Howa You (feat. Myztro & Xduppy),2023,151788
2023-11-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,379460
2023-11-01,Howa You (feat. Myztro & Xduppy),2023,266909
2023-12-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,368154
2023-12-01,Howa You (feat. Myztro & Xduppy),2023,70901
2023-12-01,uShaka (feat. DJ Maphorisa & Visca),2023,342772
2024-01-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2024,101001
2024-01-01,uShaka (feat. DJ Maphorisa & Visca),2024,83682
2024-05-01,Cishe Nga Posta,2024,87342
2024-06-01,Cishe Nga Posta,2024,73828
