date,name,category,value
2022-12-01,uShaka (feat. DJ Maphorisa & Visca),2022,51713
2023-01-01,uShaka (feat. DJ Maphorisa & Visca),2023,208300
2023-02-01,uShaka (feat. DJ Maphorisa & Visca),2023,191408
2023-03-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,644688
2023-03-01,uShaka (feat. DJ Maphorisa & Visca),2023,263502
2023-04-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,857677
2023-04-01,uShaka (feat. DJ Maphorisa & Visca),2023,194761
2023-05-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,749583
2023-05-01,uShaka (feat. DJ Maphorisa & Visca),2023,47839
2023-06-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,689827
2023-07-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,567930
2023-08-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,620337
2023-08-01,Howa You (feat. Myztro & Xduppy),2023,500217
2023-09-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,392956
2023-09-01,Howa You (feat. Myztro & Xduppy),2023,497139
2023-10-01,"Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)",2023,204112
2023-10-01,Howa You (feat. Myztro & Xduppy),2023,205484
