date,name,category,value
2018-03-01,Suited,2018,7472
2018-04-01,Please Mr,2018,2350
2018-04-01,Suited,2018,14841
2018-04-01,Suited (SynX Remix)[feat. Mr Eazi] (feat. Synx & Mr Eazi),2018,2383
2018-05-01,Suited,2018,13456
2018-06-01,Please Mr,2018,10262
2018-06-01,Suited,2018,6409
2018-07-01,Please Mr,2018,15640
2018-08-01,Different (feat. Mariechan),2018,4551
2018-09-01,Different (feat. Mariechan),2018,19129
2018-10-01,Different (feat. Mariechan),2018,5593
2021-05-01,Fall Apart (feat. Luke Goliath),2021,20329
2021-05-01,Fixate (feat. Bey T),2021,82437
2021-05-01,Miserable,2021,19320
2021-05-01,Not Safe (intro),2021,18578
2021-05-01,Pick Up (feat. Una Rams),2021,20716
2021-05-01,Questions,2021,37628
2021-05-01,Tides,2021,28489
2021-05-01,Wedding Song,2021,19008
2021-06-01,Fixate (feat. Bey T),2021,39164
2023-11-01,Please Mr,2023,60763
