date,name,category,value
2018-07-01,Confession,2018,4433
2019-03-01,Umama,2019,22785
2019-04-01,Umama,2019,32668
2019-05-01,Umama,2019,22506
2019-06-01,Umama,2019,15236
2020-12-01,Ikusasa,2020,26941
2020-12-01,Imigomo Nemibandela,2020,31616
2020-12-01,Maduze,2020,25418
2020-12-01,Umcebo,2020,58324
2021-01-01,Umcebo,2021,17757
2023-02-01,Akabuye,2023,178804
2023-02-01,Amakhehla,2023,272424
2023-02-01,Amanxeba,2023,187424
2023-02-01,Amaphiko,2023,243009
2023-02-01,Amavaka,2023,481028
2023-02-01,Dudlu,2023,197925
2023-02-01,Grounding,2023,284581
2023-02-01,Inhlonipho,2023,146157
2023-02-01,Iphisi,2023,217968
2023-02-01,Isoka,2023,531370
2023-02-01,Ithuna,2023,171226
2023-02-01,Kube Ngangazi,2023,322367
2023-02-01,My Life,2023,210981
2023-02-01,Peace,2023,130071
2023-02-01,Thixo,2023,431530
2023-02-01,Time,2023,206463
2023-02-01,Ubuhle Bendalo,2023,259218
2023-02-01,Ungavumi,2023,196438
2023-03-01,Amavaka,2023,251390
2023-03-01,Isoka,2023,439663
2023-03-01,Thixo,2023,42288
2023-04-01,Isoka,2023,364446
2023-05-01,Isoka,2023,350242
2023-06-01,Isoka,2023,351873
2023-07-01,Isoka,2023,216416
2023-08-01,Isoka,2023,157268
2024-05-01,Ngibongiseni,2024,189960
2024-05-01,Race,2024,99958
2024-05-01,"Typhoon (feat. Sastii, LaCabra, Lowfeye, Blue Papi)",2024,292607
2024-06-01,"Typhoon (feat. Sastii, LaCabra, Lowfeye, Blue Papi)",2024,394516
2024-07-01,"Typhoon (feat. Sastii, LaCabra, Lowfeye, Blue Papi)",2024,437055
2024-08-01,"Typhoon (feat. Sastii, LaCabra, Lowfeye, Blue Papi)",2024,572564
2024-09-01,"Typhoon (feat. Sastii, LaCabra, Lowfeye, Blue Papi)",2024,112506
2024-09-01,"Typhoon (feat. Sastii, LaCabra, Lowfeye, Blue Pappi)",2024,315386
2024-10-01,"Typhoon (feat. Sastii, LaCabra, Lowfeye, Blue Pappi)",2024,89347
