date,name,category,value
2020-09-01,uThando,2020,89630
2020-10-01,uThando,2020,326853
2020-11-01,uThando,2020,247132
2020-12-01,uThando,2020,377607
2021-01-01,uThando,2021,161910
2021-02-01,uThando,2021,110127
2021-03-01,uThando,2021,94302
2021-04-01,uThando,2021,102183
2021-11-01,Ayi Ringi (feat. Simmy & Kabza De Small),2021,88617
2021-11-01,"Idlozi Lami (feat. Phila Dlozi, Boohle & Kabza De Small)",2021,77579
2021-11-01,Umama Akekho (feat. Nkosazana Daughter & Mas Musiq),2021,259338
2021-12-01,Ayi Ringi (feat. Simmy & Kabza De Small),2021,25376
2021-12-01,"Idlozi Lami (feat. Phila Dlozi, Boohle & Kabza De Small)",2021,112917
2021-12-01,Umama Akekho (feat. Nkosazana Daughter & Mas Musiq),2021,318102
2022-01-01,"Idlozi Lami (feat. Phila Dlozi, Boohle & Kabza De Small)",2022,103756
2022-01-01,Umama Akekho (feat. Nkosazana Daughter & Mas Musiq),2022,200059
2022-02-01,"Idlozi Lami (feat. Phila Dlozi, Boohle & Kabza De Small)",2022,110070
2022-02-01,Umama Akekho (feat. Nkosazana Daughter & Mas Musiq),2022,162565
2022-03-01,Dropline,2022,98813
2022-03-01,"Idlozi Lami (feat. Phila Dlozi, Boohle & Kabza De Small)",2022,132467
2022-03-01,Umama Akekho (feat. Nkosazana Daughter & Mas Musiq),2022,224834
2022-04-01,Dropline,2022,114425
2022-04-01,"Idlozi Lami (feat. Phila Dlozi, Boohle & Kabza De Small)",2022,101233
2022-04-01,Umama Akekho (feat. Nkosazana Daughter & Mas Musiq),2022,143692
2022-05-01,Dropline,2022,27376
2022-05-01,"Idlozi Lami (feat. Phila Dlozi, Boohle & Kabza De Small)",2022,26693
2022-05-01,Umama Akekho (feat. Nkosazana Daughter & Mas Musiq),2022,126413
2022-06-01,Umama Akekho (feat. Nkosazana Daughter & Mas Musiq),2022,31690
2023-06-01,Mina Nawe,2023,356875
