date,name,category,value
2023-03-01,Thath'Indawo (Live),2023,500775
2023-04-01,Thath'Indawo (Live),2023,451194
2023-05-01,Thath'Indawo (Live),2023,447884
2023-06-01,Thath'Indawo (Live),2023,429452
2023-07-01,Thath'Indawo (Live),2023,377456
2023-08-01,Moy Oyingcwele (Live),2023,129931
2023-08-01,Thath'Indawo (Live),2023,519904
2023-09-01,Bina Moya Waka (Live),2023,77073
2023-09-01,Moy Oyingcwele (Live),2023,421911
2023-09-01,Thath'Indawo (Live),2023,360570
2023-10-01,Moy Oyingcwele (Live),2023,342347
2023-10-01,Thath'Indawo (Live),2023,340258
2023-11-01,Moy Oyingcwele (Live),2023,285734
2023-11-01,Thath'Indawo (Live),2023,332537
2023-12-01,Thath'Indawo (Live),2023,331657
2024-01-01,Moy Oyingcwele (Live),2024,182025
2024-01-01,Thath'Indawo (Live),2024,372846
2024-02-01,Thath'Indawo (Live),2024,494633
2024-03-01,Thath'Indawo (Live),2024,213856
