date,name,category,value
2018-03-01,Bamthathile,2018,2762
2018-04-01,Bamthathile,2018,12851
2018-05-01,Bamthathile,2018,20886
2018-06-01,Bamthathile,2018,16607
2018-07-01,Bamthathile,2018,17547
2018-08-01,Bamthathile,2018,23549
2018-09-01,Bamthathile,2018,14568
2018-09-01,Ntaba ezikude,2018,13575
2019-06-01,Into Ingawe,2019,31028
2019-07-01,Into Ingawe,2019,42055
2019-08-01,Into Ingawe,2019,64390
2019-09-01,Into Ingawe,2019,56673
2019-10-01,Into Ingawe,2019,82129
2019-11-01,Into Ingawe,2019,64450
2019-12-01,Into Ingawe,2019,78083
2020-01-01,Into Ingawe,2020,79137
2020-02-01,Into Ingawe,2020,56372
2020-03-01,Into Ingawe,2020,56467
2020-05-01,Into Ingawe,2020,50587
2020-06-01,Into Ingawe,2020,60496
2020-06-01,Ubomi Abumanga,2020,93777
2020-07-01,Into Ingawe,2020,71468
2020-07-01,Ubomi Abumanga,2020,82747
2020-08-01,Into Ingawe,2020,63998
2020-08-01,Ubomi Abumanga,2020,79595
2020-09-01,Into Ingawe,2020,75153
2020-09-01,Ubomi Abumanga,2020,93022
2020-10-01,Into Ingawe,2020,96406
2020-10-01,Ubomi Abumanga,2020,115432
2020-11-01,Garden,2020,16938
2020-11-01,Into Ingawe,2020,75509
2020-11-01,Ubomi Abumanga,2020,76428
2020-12-01,Into Ingawe,2020,102122
2020-12-01,Ubomi Abumanga,2020,118447
2021-01-01,Ubomi Abumanga,2021,16448
2021-09-01,Higher,2021,29309
2021-11-01,Bestfriend,2021,23972
2023-01-01,Ubomi Abumanga,2023,60185
2023-02-01,Ubomi Abumanga,2023,149023
2023-11-01,Amandla,2023,70892
