date,name,category,value
2024-02-01,"Tshwala Bam (feat. S.N.E, EeQue)",2024,471354
2024-03-01,"Tshwala Bam (feat. S.N.E, EeQue)",2024,3222312
2024-04-01,"Tshwala Bam (feat. S.N.E, EeQue)",2024,2321212
2024-05-01,Tshwala Bam (feat. S.N.E) - Remix,2024,330088
2024-05-01,"Tshwala Bam (feat. S.N.E, EeQue)",2024,2013949
2024-06-01,Tshwala Bam (feat. S.N.E) - Remix,2024,488520
2024-06-01,"Tshwala Bam (feat. S.N.E, EeQue)",2024,965894
2024-07-01,Tshwala Bam (feat. S.N.E) - Remix,2024,371450
2024-07-01,"Tshwala Bam (feat. S.N.E, EeQue)",2024,779279
2024-08-01,Tshwala Bam (feat. S.N.E) - Remix,2024,185078
2024-08-01,"Tshwala Bam (feat. S.N.E, EeQue)",2024,801831
2024-09-01,Tshwala Bam (feat. S.N.E & Eeque),2024,431457
2024-09-01,Utshwala (feat. Lington),2024,94808
