date,name,category,value
2021-02-01,Getting Late,2021,44007
2021-03-01,Getting Late,2021,142824
2021-04-01,Getting Late,2021,142316
2021-05-01,Getting Late,2021,96623
2021-06-01,Getting Late,2021,40817
2023-09-01,Water,2023,571595
2023-10-01,Water,2023,1081663
2023-11-01,Water,2023,1492965
2023-11-01,Water - Remix,2023,169581
2023-12-01,Truth or Dare,2023,457806
2023-12-01,Water,2023,1219713
2023-12-01,Water - Remix,2023,69169
2024-01-01,Truth or Dare,2024,483160
2024-01-01,Water,2024,945959
2024-02-01,Truth or Dare,2024,816216
2024-02-01,Water,2024,975147
2024-03-01,ART,2024,225933
2024-03-01,Breathe Me,2024,91109
2024-03-01,Butterflies,2024,79791
2024-03-01,Intro,2024,98900
2024-03-01,Jump,2024,200595
2024-03-01,No.1 (feat. Tems),2024,124141
2024-03-01,On My Body,2024,87328
2024-03-01,On and On,2024,79746
2024-03-01,Safer,2024,129846
2024-03-01,To Last,2024,71419
2024-03-01,Truth or Dare,2024,796639
2024-03-01,Water,2024,831791
2024-04-01,ART,2024,691461
2024-04-01,Jump,2024,781437
2024-04-01,No.1 (feat. Tems),2024,138506
2024-04-01,Safer,2024,154051
2024-04-01,Truth or Dare,2024,688379
2024-04-01,Water,2024,787632
2024-05-01,ART,2024,677044
2024-05-01,Jump,2024,894967
2024-05-01,Truth or Dare,2024,765839
2024-05-01,Water,2024,841075
2024-06-01,ART,2024,417421
2024-06-01,Jump,2024,667655
2024-06-01,Truth or Dare,2024,433755
2024-06-01,Water,2024,498554
