date,name,category,value
2020-09-01,Bella Ciao,2020,21004
2020-10-01,Bella Ciao,2020,181683
2020-11-01,Bella Ciao,2020,109661
2020-12-01,Bella Ciao,2020,254192
2021-01-01,Bella Ciao,2021,123818
2021-02-01,Bella Ciao,2021,96415
2021-03-01,Bella Ciao,2021,78804
2021-04-01,Bella Ciao,2021,104471
2021-05-01,Bella Ciao,2021,17962
2021-06-01,Bella Ciao,2021,18816
2022-07-01,"Inhliziyo (feat. Nkosazana Daughter, Kabza De Small & DJ Maphorisa)",2022,96391
2022-08-01,"Inhliziyo (feat. Nkosazana Daughter, Kabza De Small & DJ Maphorisa)",2022,127567
2022-09-01,"Inhliziyo (feat. Nkosazana Daughter, Kabza De Small & DJ Maphorisa)",2022,60887
2022-09-01,"Numba (feat. Sir Trill, Young Stunna, Kabza De Small & DJ Maphorisa)",2022,61581
2022-11-01,"Ama Million (feat. Chley Nkosi, Freddy K & Toss)",2022,72608
2022-12-01,"Ama Million (feat. Chley Nkosi, Freddy K & Toss)",2022,38631
2023-02-01,"NGIMOJA (feat. Khanyisa, Tumelo_za & Tyrondee)",2023,240615
2023-03-01,"NGIMOJA (feat. Khanyisa, Tumelo_za & Tyrondee)",2023,1353549
2023-04-01,"NGIMOJA (feat. Khanyisa, Tumelo_za & Tyrondee)",2023,812227
2023-05-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2023,2094787
2023-05-01,"NGIMOJA (feat. Khanyisa, Tumelo_za & Tyrondee)",2023,732668
2023-06-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2023,2763943
2023-06-01,"NGIMOJA (feat. Khanyisa, Tumelo_za & Tyrondee)",2023,632150
2023-07-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2023,2307139
2023-07-01,"NGIMOJA (feat. Khanyisa, Tumelo_za & Tyrondee)",2023,539155
2023-08-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2023,2235660
2023-08-01,"NGIMOJA (feat. Khanyisa, Tumelo_za & Tyrondee)",2023,508225
2023-09-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2023,1488080
2023-09-01,"NGIMOJA (feat. Khanyisa, Tumelo_za & Tyrondee)",2023,172205
2023-10-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2023,1258679
2023-11-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2023,1021364
2023-12-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2023,1193480
2023-12-01,"NGIMOJA (feat. Khanyisa, Tumelo_za & Tyrondee)",2023,61707
2024-01-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2024,813848
2024-02-01,"Ebasini (feat. Tman Xpress, Visca, Ceeka RSA, Sjavasdadeejayj & Al Xapo)",2024,97168
2024-02-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2024,611067
2024-03-01,"Ebasini (feat. Tman Xpress, Visca, Ceeka RSA, Sjavasdadeejayj & Al Xapo)",2024,217874
2024-03-01,"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",2024,221054
