date,name,category,value
2022-03-01,Tanzania,2022,186318
2022-04-01,Love I Need,2022,60260
2022-04-01,Tanzania,2022,467927
2022-05-01,Tanzania,2022,525197
2022-06-01,Tanzania,2022,557387
2022-07-01,Tanzania,2022,346918
2022-08-01,Tanzania,2022,275514
2022-09-01,Tanzania,2022,287885
2022-10-01,Tanzania,2022,190152
2022-11-01,Tanzania,2022,83200
2022-12-01,Tanzania,2022,117477
2023-01-01,Tanzania,2023,44982
2023-04-01,"Yahyuppiyah (feat. Pcee, EeQue & Chley)",2023,953141
2023-05-01,"Yahyuppiyah (feat. Pcee, EeQue & Chley)",2023,803857
2023-06-01,"Yahyuppiyah (feat. Pcee, EeQue & Chley)",2023,767909
2023-07-01,"Yahyuppiyah (feat. Pcee, EeQue & Chley)",2023,432209
2023-08-01,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),2023,993684
2023-08-01,"Yahyuppiyah (feat. Pcee, EeQue & Chley)",2023,429080
2023-09-01,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),2023,1247769
2023-09-01,"Yahyuppiyah (feat. Pcee, EeQue & Chley)",2023,174720
2023-10-01,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),2023,1001545
2023-10-01,"Yahyuppiyah (feat. Pcee, EeQue & Chley)",2023,57660
2023-11-01,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),2023,861620
2023-12-01,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),2023,853373
2024-01-01,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),2024,583566
2024-02-01,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),2024,433942
2024-03-01,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),2024,206982
2024-04-01,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),2024,67556
2024-04-01,"Wadibusa (feat. OHP Sage, Pcee, & Djy Biza)",2024,309438
2024-05-01,"Wadibusa (feat. OHP Sage, Pcee, & Djy Biza)",2024,1936466
2024-06-01,"Wadibusa (feat. OHP Sage, Pcee, & Djy Biza)",2024,1488991
2024-07-01,Peacock Revisit (feat. Ice Beats Slide & Sbuda Maleather),2024,79706
2024-07-01,"Wadibusa (feat. OHP Sage, Pcee, & Djy Biza)",2024,1204979
2024-08-01,"Wadibusa (feat. OHP Sage, Pcee, & Djy Biza)",2024,1455291
2024-09-01,"Wadibusa (feat. Royal MusiQ, OHP Sage, & Pcee)",2024,1069758
2024-10-01,"Wadibusa (feat. Royal MusiQ, OHP Sage, & Pcee)",2024,706326
