date,name,category,value
2024-03-01,Cheque,2024,84661
2024-04-01,Cheque,2024,564455
2024-05-01,Cheque,2024,983445
2024-06-01,Cheque,2024,480790
2024-07-01,Cheque,2024,393682
2024-08-01,Cheque,2024,324911
2024-09-01,21,2024,115923
2024-09-01,BANK,2024,371894
2024-09-01,Biggest Kulture,2024,105785
2024-09-01,Can't Hang,2024,247886
2024-09-01,Cheque,2024,304579
2024-09-01,Dangerous,2024,107265
2024-09-01,Discounts,2024,120488
2024-09-01,Kude,2024,109806
2024-09-01,Star,2024,240537
2024-09-01,The Kulture,2024,137980
2024-09-01,Upete,2024,150214
2024-09-01,Uphambene,2024,118448
2024-09-01,Uvalo,2024,931577
2024-09-01,Vegan,2024,117426
2024-10-01,BANK,2024,398087
2024-10-01,Cheque,2024,393163
2024-10-01,Star,2024,85805
2024-10-01,Uvalo,2024,1479916
