date,name,category,value
2019-12-01,International,2019,36619
2020-01-01,International,2020,27646
2020-03-01,International,2020,24315
2020-08-01,Blue Monday,2020,32990
2020-08-01,Phumelela (Covid 19),2020,13607
2020-10-01,Blue Monday,2020,14770
2021-05-01,Slender,2021,64753
2021-05-01,Take It Slow,2021,45424
2021-11-01,I Am Vigro Deep,2021,62425
2021-11-01,Some Attitude,2021,47324
2021-11-01,Some Old Song,2021,31461
2021-12-01,Some Attitude,2021,140812
2022-06-01,Asijabule (feat. Murumba Pitch & Lady Du),2022,29943
2022-12-01,Petori to Ibiza,2022,170056
