date,name,category,value
2023-10-01,"Yebo Baba (feat. Madumane, Mellow & Sleazy, Uncool MC, Ricky Lenyora & Sir Trill)",2023,82464
2023-12-01,Monday Boys Holiday (feat. DJ Maphorisa),2023,126669
2024-01-01,Monday Boys Holiday (feat. DJ Maphorisa),2024,394272
2024-02-01,Monday Boys Holiday (feat. DJ Maphorisa),2024,470989
2024-03-01,Monday Boys Holiday (feat. DJ Maphorisa),2024,329187
2024-04-01,Monday Boys Holiday (feat. DJ Maphorisa),2024,75900
2024-07-01,"Khuthuzile (feat. DJ Maphorisa, Pushkin & Kabelo Sings)",2024,141137
2024-08-01,"Khuthuzile (feat. DJ Maphorisa, Pushkin & Kabelo Sings)",2024,620464
2024-09-01,"Khuthuzile (feat. DJ Maphorisa, Pushkin & Kabelo Sings)",2024,471636
2024-10-01,"Khuthuzile (feat. DJ Maphorisa, Pushkin & Kabelo Sings)",2024,334934
