date,name,category,value
2021-10-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2021,229604
2021-10-01,"Bayeke (feat. Daliwonga, Mellow & Sleazy)",2021,30145
2021-10-01,Camagu (feat. Kabza De Small),2021,27439
2021-10-01,Ethembeni (feat. Kabza De Small),2021,22453
2021-10-01,S'thini Istory (feat. Visca),2021,26175
2021-10-01,Shaka Zulu (feat. Kabza De Small & Black Motion),2021,26063
2021-10-01,Shenta (feat. Nkulee501 & Skroef28),2021,34568
2021-10-01,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)",2021,48271
2021-10-01,We Mame (feat. Madumane & Kabza De Small),2021,37276
2021-11-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2021,828545
2021-11-01,Shenta (feat. Nkulee501 & Skroef28),2021,100562
2021-11-01,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)",2021,342431
2021-11-01,We Mame (feat. Madumane & Kabza De Small),2021,26119
2021-12-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2021,976929
2021-12-01,Shenta (feat. Nkulee501 & Skroef28),2021,147321
2021-12-01,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)",2021,578192
2022-01-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,543695
2022-01-01,Shenta (feat. Nkulee501 & Skroef28),2022,27492
2022-01-01,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)",2022,320001
2022-02-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,375254
2022-02-01,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)",2022,217825
2022-03-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,384889
2022-03-01,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)",2022,234357
2022-04-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,243979
2022-04-01,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)",2022,138127
2022-05-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,200935
2022-05-01,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)",2022,84892
2022-06-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,199756
2022-07-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,139170
2022-08-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,133108
2022-09-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,174918
2022-10-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,103794
2022-11-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,105184
2022-12-01,Adiwele (feat. Kabza De Small & DJ Maphorisa),2022,78397
