main_artist,country
DJ Dadaman,
Thandeka Radebe,
DJ Janisto,
Zoli White Smoke,
SmeezyOn The Beat,
015 MusiQ & Van City MusiQ,
Marvin Gaye,
KindlyNxsh,
Saliwa,
Karyn White,
Janesh,
Blacko SA,
Stixx,
Caiiro,
Sannere,
Mega,
WOODBLOCK DJS,
Ndotz,
Gigi Perez,
Mawelele,
Mjolisi,
Madison Ryann Ward,
G-Jealous,
Mordecai,
SKHANDAWORLD,
Charli xcx,
Da Mabusa,
DoouShii,
THANDAZANI,
Lizwi Wokuqala,
Nia Pearl,
Hanumankind,
Malome Vector,
Blaq Major,
CowBoii,
Sevdaliza,
Najee,
Thak'so Ujey Choir,
LeoStayTrill,
Khathapillar,
Dench,
Bahubhe,
King Temoso,
Navigator Gcwensa,
Chappell Roan,
Jayy Scott,
Umafikizolo,
Bebe Winans,
Jordan Adetunji,
Soulful G,
Sonwabile,
Tinashe,
Dinho,
Bukzin Keyz,
SUPTA,
Piano City,ZA
Lejwe La Motheo Artists Development,ZA
AJ Ghent [ j-ent ],USA
SjavasDaDeejay,ZA
Msongi,ZA
Leehleza,ZA
DJ KSB,ZA
Jaziel Brothers,ZA
Lithe,Australia
TLC,USA
Solly Moholo,ZA
Sexyy Red,USA
Tommy Richman,USA
Babalwa M,ZA
Mid9t,ZA
KMAT,ZA
Bakar,UK
Tony Dayimane,ZA
Ama Grootman,ZA
Lay Bankz,USA
Shaboozey,USA
Nduduzo Matse,ZA
Lindo Mtangayi,ZA
Richy Mitch & The Coal Miners,USA
mgk,
Dee Koala,ZA
TNK MusiQ,ZA
Umlabalaba,ZA
Mark Ambor,USA
Zee Nxumalo,ZA
K-Ci & JoJo,USA
Artemas,UK
Usimamane,ZA
Dasha,USA
Goldmax,ZA
4batz,USA
New Edition,USA
Natasha Bedingfield,USA
Chike,Nigeria
Djo,USA
Xolly Mncwango,ZA
Alex Warren,USA
TitoM,ZA
Zwide,ZA
USHER,USA
YG Marley,USA
Victoria Mont,USA
Good Neighbours,UK
Khalil Harrison,ZA
Aqyila,Canada
Yung Filly,UK
$,USA
Michael Marcagi,USA
Rich Amiri,USA
DJ Lag,ZA
Sophie Ellis-Bextor,UK
Joe,USA
Ceeka RSA,ZA
Josh Levi,USA
Mzukulu,ZA
Teddy Swims,USA
Ggoldie,ZA
Da Gifto,ZA
Liwn,TBC
TxC,ZA
Isitha sama ex,ZA
Mshinwemali,ZA
Flo Milli,USA
Ugatsheni,ZA
Fridayy,USA
Bandros,ZA
Sanele Jama,ZA
Chris Steyn,ZA
Shakes & Les,ZA
LIMIT NALA,ZA
Mashudu,ZA
Shebeshxt,ZA
YANII,USA
Mr Thela,ZA
Professor,ZA
Khuthuza,ZA
ShaunMusiq & Ftears,ZA
Mgarimbe,ZA
DJ Tshegu,ZA
Pexi-Tonic SA,ZA
Myles Smith,UK
Flash Cortez,ZA
Johnny Clegg & Juluka,ZA
Nandipha808,ZA
Benny Mayengani,ZA
Tskay,ZA
The Soil,ZA
Mandoza,ZA
Maverick Muji,ZA
Xduppy,ZA
Lindough,ZA
Ocean Biller,ZA
Mitski,USA
Priddy Ugly,ZA
Stakev,ZA
Megadrumz,ZA
DJ Kent,ZA
Killorbeezbeatz,ZA
Naledi Aphiwe,ZA
Bassie,ZA
Nathi,ZA
Juanita du Plessis,ZA
Thuto The Human,ZA
Kenya Grace,ZA
Combo M,ZA
Harrycane,ZA
Sino Msolo,ZA
Fezeka Dlamini,ZA
Sushi.b,ZA
V,South Korea
Sizwe Nineteen,ZA
Die Piesangskille,ZA
Mthandeni SK,ZA
Toby Franco,ZA
Oscar Mbo,ZA
Harry Cane,ZA
Nobantu Vilakazi,ZA
Halle,USA
Madlala,ZA
Musical Jazz,ZA
Dj Jaivane,ZA
Tebza De DJ,ZA
Noah Kahan,USA
Deejaykgosi,ZA
Zan'Ten,ZA
Peta Teanet,ZA
Omit ST,ZA
the King will come,USA
Jimmy Maradona,ZA
Ndlu Nkulu,ZA
ChubbyCheeks,ZA
Dr Dope,ZA
Mac lopez,ZA
PRVIS3,ZA
Sykes,ZA
Royal MusiQ,ZA
Zakwe,ZA
Mankay & Choco Dynasty,ZA
Young Nudy,USA
Kaliii,USA
QuayR Musiq,ZA
Makhadzi Entertainment,ZA
J Hus,UK
Baby S.O.N,ZA
Ne-Yo,USA
Jain,France
Kharishma,ZA
Kaylow,ZA
Masterpiece YVK,ZA
Asanda Mkhize,ZA
Elvirgo,ZA
Skweletu,ZA
TNK,ZA
Major Keys,ZA
Casswell P,ZA
Ntencane,ZA
Lil Mabu,USA
Kali,USA
Dj Coach,ZA
Iniko,USA
Artwork Sounds,ZA
Duncan Daniels,USA
David Kushner,USA
FIFTY FIFTY,South Korea
Inkabi Zezwe,ZA
Morgan Wallen,USA
Jamie Fine,Canada
Jimin,South Korea
Toosii,USA
Boyz II Men,USA
Rainbow Kitten Surprise,USA
Yumbs,ZA
Saint Bandz,USA
Nkosazana Daughter,ZA
TBO,ZA
JayO,UK
Loatinover Pounds,ZA
Spirit Of Praise,ZA
Officixl Megaohms,ZA
Lizzy McAlpine,USA
Joyous Celebration,ZA
Superstar Pride,USA
Lady Amar,ZA
TAEYANG,South Korea
Bayanni,Nigeria
Popcaan,Jamaica
Zonke,ZA
Russell Zuma,ZA
Tamia,USA
Officixl Rsa,ZA
ajof.,Nigeria
Linkin Park,USA
MRDA,ZA
Sfarzo Rtee,ZA
Uncle Vinny,ZA
Baby Tate,USA
INTERWORLD,Belarus
2Point1,ZA
Ice Beats Slide,ZA
Sund,ZA
Cian Ducrot,Ireland
Shaunmusiq,ZA
Libianca,ZA
Lianie May,ZA
Pcee,ZA
Khuzani,ZA
RAYE,UK
Brendan Peyper,ZA
Kususa,ZA
RM,South Korea
PinkPantheress,UK
Kordhell,USA
Big Nuz,ZA
MaWhoo,ZA
IShowSpeed,USA
Murumba Pitch,ZA
ESK MUSIQ,ZA
Dodo Nyoka,ZA
Barto,ZA
Freddie Dredd,Canada
ThxSoMch,Canada
Myztro,ZA
TOSS,ZA
JIN,South Korea
Nobuhle,ZA
Pushkin RSA,ZA
charlieonnafriday,USA
Glenn Jones,USA
Stephen Sanchez,USA
GloRilla,USA
Smino,USA
Olamide,Nigeria
Ajebo Hustlers,Nigeria
Khaid,Nigeria
Portable,Nigeria
Skiibii,Nigeria
Ruger,Nigeria
Wande Coal,Nigeria
Timaya,Nigeria
The Therapist,Sierra Leon
Reminisce,Nigeria
DJ Tunez,Nigeria
Victony,ZA
Darkoo,UK
MacG,ZA
Ollie Flows,Nigeria
Reekado Banks,Nigeria
melvitto,Nigeria-America
1da Banton,Nigeria
Lil Kesh,Nigeria
Teni,Nigeria
Mayorkun,Nigeria
Peruzzi,Nigeria
Ayra Starr,Nigeria
Limoblaze,Nigeria
Young Jonn,Nigeria
AV,Nigeria
Asake,Nigeria
Mavins,Nigeria
Temple Boys Cpt,ZA
Magixx,Nigeria
Classic Man SmF,Ivory Coast
Bezza,France
Pushkin,ZA
Ice Spice,USA
Boi Chase,Nigeria
T.I BLAZE,Nigeria
Fave,Nigeria
