trackAppearanceCount,artistAppearanceCount,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen,Artist and Track,rank difference,Position over Time,lower_main_artist,Artist,artist_lower
0,19,83,spotify:track:7iAgNZdotu40NwtoIWJHFe,"BLACKPINK, Cardi B",Bet You Wanna (feat. Cardi B),YG Entertainment/Interscope Records,83,-1,1,24169,2020-10-08,41,2020,2020-10-08,1602115200.0,2020-10-01,2,BLACKPINK,0,"BLACKPINK, Cardi B; Bet You Wanna (feat. Cardi B)",0,0,blackpink,Blackpink,blackpink
1,23,197,spotify:track:7iAgNZdotu40NwtoIWJHFe,"BLACKPINK, Cardi B",Bet You Wanna (feat. Cardi B),YG Entertainment/Interscope Records,83,83,2,14675,2020-10-15,42,2020,2020-10-15,1602720000.0,2020-10-01,2,BLACKPINK,0,"BLACKPINK, Cardi B; Bet You Wanna (feat. Cardi B)",114,100,blackpink,Blackpink,blackpink
0,8,63,spotify:track:3vAn0qZzdyuHamcrpkfiX3,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,63,-1,1,22288,2020-07-02,27,2020,2020-07-02,1593648000.0,2020-07-01,1,BLACKPINK,0,BLACKPINK; How You Like That,0,0,blackpink,Blackpink,blackpink
1,9,104,spotify:track:3vAn0qZzdyuHamcrpkfiX3,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,63,63,2,18425,2020-07-09,28,2020,2020-07-09,1594252800.0,2020-07-01,1,BLACKPINK,0,BLACKPINK; How You Like That,41,100,blackpink,Blackpink,blackpink
2,10,129,spotify:track:3vAn0qZzdyuHamcrpkfiX3,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,63,104,3,16575,2020-07-16,29,2020,2020-07-16,1594857600.0,2020-07-01,1,BLACKPINK,0,BLACKPINK; How You Like That,25,100,blackpink,Blackpink,blackpink
3,11,143,spotify:track:3vAn0qZzdyuHamcrpkfiX3,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,63,129,4,15778,2020-07-23,30,2020,2020-07-23,1595462400.0,2020-07-01,1,BLACKPINK,0,BLACKPINK; How You Like That,14,100,blackpink,Blackpink,blackpink
4,12,187,spotify:track:3vAn0qZzdyuHamcrpkfiX3,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,63,143,5,14654,2020-07-30,31,2020,2020-07-30,1596067200.0,2020-07-01,1,BLACKPINK,0,BLACKPINK; How You Like That,44,100,blackpink,Blackpink,blackpink
5,21,193,spotify:track:4SFknyjLcyTLJFPKD2m96o,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,63,-1,6,15912,2020-10-08,41,2020,2020-10-08,1602115200.0,2020-10-01,1,BLACKPINK,0,BLACKPINK; How You Like That,6,100,blackpink,Blackpink,blackpink
0,13,47,spotify:track:2J4P46vCFm1rPkNkp9pZWX,"BLACKPINK, Selena Gomez",Ice Cream (with Selena Gomez),YG Entertainment/Interscope Records,47,-1,1,31906,2020-09-03,36,2020,2020-09-03,1599091200.0,2020-09-01,1,BLACKPINK,0,"BLACKPINK, Selena Gomez; Ice Cream (with Selena Gomez)",0,0,blackpink,Blackpink,blackpink
1,14,37,spotify:track:2J4P46vCFm1rPkNkp9pZWX,"BLACKPINK, Selena Gomez",Ice Cream (with Selena Gomez),YG Entertainment/Interscope Records,37,47,2,33790,2020-09-10,37,2020,2020-09-10,1599696000.0,2020-09-01,1,BLACKPINK,0,"BLACKPINK, Selena Gomez; Ice Cream (with Selena Gomez)",-10,75,blackpink,Blackpink,blackpink
