,,trackAppearanceCount,trackAppearanceCount,trackAppearanceCount,trackAppearanceCount,artistAppearanceCount,artistAppearanceCount,artistAppearanceCount,artistAppearanceCount,rank,rank,rank,rank,uri,uri,uri,uri,artist_names,artist_names,artist_names,artist_names,source,source,source,source,peak_rank,peak_rank,peak_rank,peak_rank,previous_rank,previous_rank,previous_rank,previous_rank,weeks_on_chart,weeks_on_chart,weeks_on_chart,weeks_on_chart,streams,streams,streams,streams,End Date,End Date,End Date,End Date,Week,Week,Week,Week,Year,Year,Year,Year,End Date Dt,End Date Dt,End Date Dt,End Date Dt,Seconds since Epoch,Seconds since Epoch,Seconds since Epoch,Seconds since Epoch,End Date Aggregated,End Date Aggregated,End Date Aggregated,End Date Aggregated,ArtistCount,ArtistCount,ArtistCount,ArtistCount,isTopTen,isTopTen,isTopTen,isTopTen,Artist and Track,Artist and Track,Artist and Track,Artist and Track,rank difference,rank difference,rank difference,rank difference,Position over Time,Position over Time,Position over Time,Position over Time,IsGirlGroup,IsGirlGroup,IsGirlGroup,IsGirlGroup,IsBoyGroup,IsBoyGroup,IsBoyGroup,IsBoyGroup
,,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique,min,max,count,nunique
main_artist,track_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,BACK TO ME,0,1,2,2,3,15,2,2,38,85,2,2,spotify:track:1icgLGTpX2fQXKRe4D7w2b,spotify:track:1icgLGTpX2fQXKRe4D7w2b,2,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",2,1,Ye,Ye,2,1,38,38,2,1,-1,38,2,2,1,2,2,2,88457,133735,2,2,2024-02-15,2024-02-22,2,2,7,8,2,2,2024,2024,2,1,2024-02-15,2024-02-22,2,2,1707955200.0,1708560000.0,2,2,2024-02-01,2024-02-01,2,1,1,1,2,1,0,0,2,1,"$, Kanye West, Ty Dolla $ign; BACK TO ME","$, Kanye West, Ty Dolla $ign; BACK TO ME",2,1,0,47,2,2,0,100,2,2,False,False,2,1,False,False,2,1
$,BEG FORGIVENESS,0,0,1,1,7,7,1,1,74,74,1,1,spotify:track:4ihV1wv7QmjbkLHaT9lA4s,spotify:track:4ihV1wv7QmjbkLHaT9lA4s,1,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",1,1,Ye,Ye,1,1,74,74,1,1,-1,-1,1,1,1,1,1,1,95997,95997,1,1,2024-02-15,2024-02-15,1,1,7,7,1,1,2024,2024,1,1,2024-02-15,2024-02-15,1,1,1707955200.0,1707955200.0,1,1,2024-02-01,2024-02-01,1,1,1,1,1,1,0,0,1,1,"$, Kanye West, Ty Dolla $ign; BEG FORGIVENESS","$, Kanye West, Ty Dolla $ign; BEG FORGIVENESS",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
$,BURN,0,2,3,3,8,21,3,3,79,155,3,3,spotify:track:04CyMEHliadfQWMUJb1w99,spotify:track:04CyMEHliadfQWMUJb1w99,3,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",3,1,Ye,Ye,3,1,79,79,3,1,-1,117,3,3,1,3,3,3,72122,91850,3,3,2024-02-15,2024-02-29,3,3,7,9,3,3,2024,2024,3,1,2024-02-15,2024-02-29,3,3,1707955200.0,1709164800.0,3,3,2024-02-01,2024-02-01,3,1,1,1,3,1,0,0,3,1,"$, Kanye West, Ty Dolla $ign; BURN","$, Kanye West, Ty Dolla $ign; BURN",3,1,0,38,3,2,0,100,3,2,False,False,3,1,False,False,3,1
$,CARNIVAL,0,17,19,18,0,38,19,19,5,147,19,19,spotify:track:3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,19,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",19,2,Ye,Ye,19,1,5,14,19,4,-1,144,19,19,1,19,19,19,88991,320097,19,19,2024-02-15,2024-06-20,19,19,7,25,19,19,2024,2024,19,1,2024-02-15,2024-06-20,19,19,1707955200.0,1718841600.0,19,19,2024-02-01,2024-06-01,19,5,1,1,19,1,0,1,19,2,"$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti; CARNIVAL","$, Kanye West, Ty Dolla $ign; CARNIVAL",19,2,-5,24,19,15,0,100,19,3,False,False,19,1,False,False,19,1
$,DO IT,0,0,1,1,11,11,1,1,101,101,1,1,spotify:track:2iGvsJuc2mC4mDVOVMNAP6,spotify:track:2iGvsJuc2mC4mDVOVMNAP6,1,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",1,1,Ye,Ye,1,1,101,101,1,1,-1,-1,1,1,1,1,1,1,82602,82602,1,1,2024-02-15,2024-02-15,1,1,7,7,1,1,2024,2024,1,1,2024-02-15,2024-02-15,1,1,1707955200.0,1707955200.0,1,1,2024-02-01,2024-02-01,1,1,1,1,1,1,0,0,1,1,"$, Kanye West, Ty Dolla $ign; DO IT","$, Kanye West, Ty Dolla $ign; DO IT",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
$,FUK SUMN,0,2,3,3,4,22,3,3,49,182,3,3,spotify:track:5tEaVciE2GnR28aN6W9cLS,spotify:track:5tEaVciE2GnR28aN6W9cLS,3,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",3,1,Ye,Ye,3,1,49,49,3,1,-1,118,3,3,1,3,3,3,66770,114081,3,3,2024-02-15,2024-02-29,3,3,7,9,3,3,2024,2024,3,1,2024-02-15,2024-02-29,3,3,1707955200.0,1709164800.0,3,3,2024-02-01,2024-02-01,3,1,1,1,3,1,0,0,3,1,"$, Kanye West, Ty Dolla $ign; FUK SUMN","$, Kanye West, Ty Dolla $ign; FUK SUMN",3,1,0,69,3,3,0,100,3,2,False,False,3,1,False,False,3,1
$,HOODRAT,0,0,1,1,10,10,1,1,94,94,1,1,spotify:track:1eThXFmkENeSkdeLO8S86F,spotify:track:1eThXFmkENeSkdeLO8S86F,1,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",1,1,Ye,Ye,1,1,94,94,1,1,-1,-1,1,1,1,1,1,1,85064,85064,1,1,2024-02-15,2024-02-15,1,1,7,7,1,1,2024,2024,1,1,2024-02-15,2024-02-15,1,1,1707955200.0,1707955200.0,1,1,2024-02-01,2024-02-01,1,1,1,1,1,1,0,0,1,1,"$, Kanye West, Ty Dolla $ign; HOODRAT","$, Kanye West, Ty Dolla $ign; HOODRAT",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
$,KEYS TO MY LIFE,0,0,1,1,5,5,1,1,59,59,1,1,spotify:track:7hVb3OyFkgxDgpTdrOX6dT,spotify:track:7hVb3OyFkgxDgpTdrOX6dT,1,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",1,1,Ye,Ye,1,1,59,59,1,1,-1,-1,1,1,1,1,1,1,106984,106984,1,1,2024-02-15,2024-02-15,1,1,7,7,1,1,2024,2024,1,1,2024-02-15,2024-02-15,1,1,1707955200.0,1707955200.0,1,1,2024-02-01,2024-02-01,1,1,1,1,1,1,0,0,1,1,"$, Kanye West, Ty Dolla $ign; KEYS TO MY LIFE","$, Kanye West, Ty Dolla $ign; KEYS TO MY LIFE",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
$,PAID,0,0,1,1,6,6,1,1,63,63,1,1,spotify:track:2y4ZR0BUAVePljHSsZyIgj,spotify:track:2y4ZR0BUAVePljHSsZyIgj,1,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",1,1,Ye,Ye,1,1,63,63,1,1,-1,-1,1,1,1,1,1,1,104013,104013,1,1,2024-02-15,2024-02-15,1,1,7,7,1,1,2024,2024,1,1,2024-02-15,2024-02-15,1,1,1707955200.0,1707955200.0,1,1,2024-02-01,2024-02-01,1,1,1,1,1,1,0,0,1,1,"$, Kanye West, Ty Dolla $ign; PAID","$, Kanye West, Ty Dolla $ign; PAID",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
$,PAPERWORK,0,0,1,1,13,13,1,1,140,140,1,1,spotify:track:2yyO7EKRr7c3txi4xCXUFk,spotify:track:2yyO7EKRr7c3txi4xCXUFk,1,1,"$, Kanye West, Ty Dolla $ign","$, Kanye West, Ty Dolla $ign",1,1,Ye,Ye,1,1,140,140,1,1,-1,-1,1,1,1,1,1,1,74414,74414,1,1,2024-02-15,2024-02-15,1,1,7,7,1,1,2024,2024,1,1,2024-02-15,2024-02-15,1,1,1707955200.0,1707955200.0,1,1,2024-02-01,2024-02-01,1,1,1,1,1,1,0,0,1,1,"$, Kanye West, Ty Dolla $ign; PAPERWORK","$, Kanye West, Ty Dolla $ign; PAPERWORK",1,1,0,0,1,1,0,0,1,1,False,False,1,1,False,False,1,1
