source,streams,count_main_artist,count_track_name
Columbia,37711187917,56,230
Republic Records,27555882345,22,145
Rimas Entertainment LLC,18294105384,9,90
Atlantic Records UK,17993141099,13,73
Atlantic Records,13445634616,38,79
Sony Music Latin,12614796142,29,89
Warner Records,11957570688,25,88
UMLE - Latino,11428492248,10,68
RCA Records Label,7421921009,27,64
Olivia Rodrigo PS,7094321632,1,11
Kemosabe Records/RCA Records,6539215615,3,22
Taylor Swift,6475877038,1,122
Darkroom/Interscope Records,6312054845,2,32
RBMG/Def Jam,5599838670,1,38
Island Records,5283621849,8,34
Universal Republic Records,5155414225,1,22
Aftermath,4889974665,3,26
Kid Ina Korner / Interscope,4734658364,1,15
Polydor Records,4596155806,15,48
BIGHIT MUSIC,4385970028,7,65
Elektra (NEK),4347053675,7,11
Parlophone UK,4278978285,11,33
Disruptor Records/Columbia,4257378923,2,29
EMI,4230036249,7,14
OVO,4211198482,2,56
Vertigo Berlin,3974247548,4,7
Generation Now/Atlantic,3704937434,3,63
Interscope Records*,3689602187,1,15
Universal Records,3601313894,5,17
Sony Music Latin/Duars Entertainment,3283131679,1,11
Grade A Productions/Interscope Records,3070805270,1,42
Capitol,2954421076,3,29
Epic,2886905601,16,27
Cash Money/Drake LP6,2773589712,1,25
Cash Money Records/Young Money Ent./Universal Rec.,2773403960,1,29
Syco Music/Epic,2642775537,2,24
WEA Latina,2634195020,13,27
Top Dawg Entertainment/RCA Records,2631585860,1,26
DALE PLAY Records,2548427321,2,19
YG Entertainment/Interscope Records,2517403541,4,22
Bad Vibes Forever / EMPIRE,2344379124,1,16
Universal-Island Records Ltd.,2339671264,9,14
Victor Victor Worldwide,2329949707,1,28
"Big Machine Records, LLC",2306547237,2,15
Rich Music,2282532112,4,17
Domino Recording Co,2270842029,1,13
Virgin,2264195570,6,7
Epic Amsterdam,2247524644,3,14
South Coast Music Group/Interscope Records,2156929038,1,16
"Bad Vibes Forever, LLC",2138567655,1,17
Cactus Jack / Epic,2134136150,3,12
300 Entertainment,2106725429,9,33
Capitol Records UK / EMI,2089596349,4,10
Alamo,2076649174,4,12
Darkroom,2062964965,1,4
Interscope,2027818977,3,21
Interscope Records,1972618763,6,24
Records/Columbia,1917117436,3,7
Capitol Records,1894755771,8,26
Epic/We The Best,1892714772,2,16
Universal Music AB,1852166152,4,22
Geffen,1806920234,6,11
Kygo,1803640736,1,15
Sony Music Latin/La Industria,1782183643,1,6
UMGRI Interscope,1772966821,10,14
"Right Hand Music Group, LLC/RCA Records",1768659879,2,12
Ministry of Sound Recordings,1730556573,3,7
Columbia/B1 Recordings,1707389814,4,4
Juice WRLD Mixtape / ISR P&D,1672543721,1,5
Atlantic/KSR,1565953213,1,14
Artist Partner,1533962380,4,8
XO / Republic Records,1434008710,1,20
Aura Music Corp.,1397901613,1,10
Epic/Grand Hustle,1354605199,2,2
Def Jam Recordings,1311769546,8,40
Som Livre,1303846310,9,26
Nice Life/Atlantic,1300663864,1,8
88rising Music/Warner Records,1295721228,1,18
Epic/Freebandz,1285347342,1,16
Lauv,1281697649,1,13
Astralwerks,1214798295,2,3
ITNO/Columbia,1203492782,1,1
El Cartel Records (EC3),1196549292,1,9
Sony Music Entertainment,1178029022,18,31
VP Records Corp/Dimelo Vi,1160324701,1,11
Universal Music Latino / Rimas,1087377346,1,2
Aftermath Entertainment/Atlantic,1072452599,1,8
Syco Music,1041899288,6,12
Arizona Zervas,1040456257,1,2
Chris Brown Entertainment/RCA Records,1013258639,1,3
TUSA - Karol G & Nicki Minaj,992766430,1,1
