main_artist,track_name,End Date,rank difference
1da Banton,Ego,2022-10-20,0
1da Banton,No Wahala,2022-02-17,0
1da Banton,No Wahala,2022-06-16,0
1da Banton,No Wahala - Remix,2022-03-10,0
1da Banton,No Wahala - Remix,2022-06-16,0
1da Banton,No Wahala - Remix,2022-10-27,0
1da Banton,Summer Love,2022-06-09,0
21 Savage,3AM on Glenwood,2022-11-10,0
3GAR BABY,HUSTLE NA MUST,2023-02-16,0
7Dime,Love Triangle,2023-04-06,0
7Dime,On You,2023-04-06,0
A$AP Rocky,D.M.B.,2022-05-12,0
A1 x J1,Night Away (Dance) (feat. Tion Wayne),2022-03-10,0
AKA,Lemons (Lemonade),2022-10-06,0
AV,Big Thug Boys,2022-02-17,0
AV,Big Thug Boys,2022-04-21,0
AV,Big Thug Boys,2022-05-26,0
AV,Confession,2022-02-17,0
AV,Confession,2022-04-21,0
AV,Confession,2022-09-08,0
AV,Jiggy,2022-05-05,0
AV,No Dey Form,2022-07-14,0
Aa,All I Ever Wanted,2022-03-03,0
Aa,Believer,2022-03-03,0
Aa,Good Times,2022-03-03,0
Aa,IDG,2022-03-03,0
Aa,IDG,2022-03-24,0
Aa,IDG,2022-06-30,0
Aa,Love Me Or Give Me Red Wine,2022-03-03,0
Aa,Mayana,2022-03-03,0
Aa,Morning Man,2022-03-03,0
Aa,Nike,2022-03-03,0
Aa,Ocean,2022-02-24,0
Aa,Show Me Off,2022-03-03,0
Aa,Show Me Off,2022-05-26,0
Adekunle Gold,5 Star,2022-07-21,0
Adekunle Gold,5 Star (with Rick Ross),2022-09-29,0
Adekunle Gold,Do You Mind?,2023-06-08,0
Adekunle Gold,High,2022-02-17,0
Adekunle Gold,High,2022-03-10,0
Adekunle Gold,High,2022-06-02,0
Adekunle Gold,High,2022-10-13,0
Adekunle Gold,High,2023-01-05,0
Adekunle Gold,High,2023-01-19,0
Adekunle Gold,It Is What It Is,2022-02-17,0
Adekunle Gold,Mercy,2022-02-17,0
Adekunle Gold,Mercy,2022-04-07,0
Adekunle Gold,Mercy,2022-04-21,0
Adekunle Gold,Mercy,2022-05-12,0
Adekunle Gold,Mercy,2022-06-16,0
Adekunle Gold,Okay,2022-02-17,0
Adekunle Gold,Okay,2022-06-30,0
Adekunle Gold,One Woman,2022-02-17,0
Adekunle Gold,Party No Dey Stop,2023-03-16,0
Adekunle Gold,Party No Dey Stop (with Zinoleesky),2024-05-16,0
Adekunle Gold,Party No Dey Stop (with Zinoleesky),2024-05-30,0
Adekunle Gold,Rodo,2024-05-16,0
Adekunle Gold,Sinner,2022-02-17,0
Adekunle Gold,Sinner,2022-05-12,0
Adekunle Gold,Sinner,2022-07-07,0
