rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start Date,Start_Date
1,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC,1,1,2,30389,2021-02-02,2021-02-02
2,spotify:track:249gnXrbfmV8NG6jTEMSwD,BTS,Life Goes On,BIGHIT MUSIC,2,2,2,26897,2021-02-02,2021-02-02
3,spotify:track:0n2moJpAEWHwaPYYjkzMDl,BTS,Blue & Grey,BIGHIT MUSIC,3,3,2,14697,2021-02-02,2021-02-02
4,spotify:track:3QH8rQGNFX8VLbCgZ7uPTS,BTS,Fly To My Room,BIGHIT MUSIC,4,5,2,14140,2021-02-02,2021-02-02
5,spotify:track:4Ws314Ylb27BVsvlZOy30C,BLACKPINK,Lovesick Girls,YG Entertainment/Interscope Records,5,10,2,13783,2021-02-02,2021-02-02
6,spotify:track:5KawlOMHjWeUjQtnuRs22c,"BTS, Halsey",Boy With Luv (feat. Halsey),BIGHIT MUSIC,6,7,2,13222,2021-02-02,2021-02-02
7,spotify:track:3ndCsZfq8OVwwkz9mmZvUz,BTS,Stay,BIGHIT MUSIC,7,9,2,12881,2021-02-02,2021-02-02
8,spotify:track:54DmTIv86D3sYdiawjULQ0,BTS,Dis-ease,BIGHIT MUSIC,6,6,2,12658,2021-02-02,2021-02-02
9,spotify:track:2FVpOsjT1iquZ3SpCjZ9Ne,BTS,Telepathy,BIGHIT MUSIC,9,13,2,12137,2021-02-02,2021-02-02
10,spotify:track:3cbLHmmEPvTgHKvl53WYiy,BTS,ON,BIGHIT MUSIC,8,8,2,10664,2021-02-02,2021-02-02
11,spotify:track:2tI4WyzqOOwC23S5m0kqcB,Pink Sweat$,At My Worst,Atlantic Records,11,14,2,8984,2021-02-02,2021-02-02
12,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,11,11,2,8769,2021-02-02,2021-02-02
13,spotify:track:5yVdSyfWGh8EvolcR2fGFU,BTS,Filter,BIGHIT MUSIC,13,17,2,8714,2021-02-02,2021-02-02
14,spotify:track:1t2qYCAjUAoGfeFeoBlK51,aespa,Black Mamba,SM Entertainment,14,26,2,8483,2021-02-02,2021-02-02
15,spotify:track:2dkFOWqyiVFS3xsQUEdBJG,BTS,Friends,BIGHIT MUSIC,15,30,2,8193,2021-02-02,2021-02-02
16,spotify:track:4SFknyjLcyTLJFPKD2m96o,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,16,27,2,8116,2021-02-02,2021-02-02
17,spotify:track:3p6hnejEQYXkiTO1lAzVc0,BTS,Euphoria,BIGHIT MUSIC,17,23,2,7898,2021-02-02,2021-02-02
18,spotify:track:5hnbE5BF2e8BCk9OMR1UVC,BTS,Mikrokosmos,BIGHIT MUSIC,18,20,2,7720,2021-02-02,2021-02-02
19,spotify:track:4RewTiGEGoO7FWNZUmp1f4,IU,Celebrity,EDAM Entertainment,4,4,2,7615,2021-02-02,2021-02-02
20,spotify:track:32dX0j8hzoztvO4ZXIblbX,BTS,My Time,BIGHIT MUSIC,20,21,2,7594,2021-02-02,2021-02-02
21,spotify:track:7Igh1mqghlHz5dimfQV85G,"MIRANI, Munchman, Khundi Panda, MUSHVENOM, GroovyRoom, JUSTHIS",VVS (Feat. JUSTHIS) (Prod. GroovyRoom),Genie Music Corporation,21,28,2,7559,2021-02-02,2021-02-02
22,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,Republic Records,16,16,2,7393,2021-02-02,2021-02-02
23,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,19,19,2,7285,2021-02-02,2021-02-02
24,spotify:track:0eeeyCAGnGZInPtpkdYiPa,BTS,Jamais Vu,BIGHIT MUSIC,24,40,2,7082,2021-02-02,2021-02-02
25,spotify:track:31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,RBMG/Def Jam,24,24,2,7080,2021-02-02,2021-02-02
26,spotify:track:0CnpSTdL9l5vQM4YnzXtyo,IZ*ONE,Panorama,"OFF THE RECORD Entertainment, SWING Entertainment",26,37,2,6828,2021-02-02,2021-02-02
27,spotify:track:5xFoqABWVj4FIAf7vQX8FN,BTS,Spring Day,BIGHIT MUSIC,27,34,2,6622,2021-02-02,2021-02-02
28,spotify:track:0SJ7vFES0Lj6pnumh3DhCe,Agust D,People,BIGHIT MUSIC,15,15,2,6608,2021-02-02,2021-02-02
29,spotify:track:0H4ugk6rhnXmTl47ayy9O5,Agust D,Daechwita,BIGHIT MUSIC,12,12,2,6557,2021-02-02,2021-02-02
30,spotify:track:4TaJlCXAkv1WKYODXmq75b,BTS,Black Swan,BIGHIT MUSIC,30,38,2,6457,2021-02-02,2021-02-02
31,spotify:track:2isSdmQfVv32j2haL6hk9x,BTS,Intro : Persona,BIGHIT MUSIC,31,39,2,6322,2021-02-02,2021-02-02
32,spotify:track:3apeXzypBMnUfYcZYNX6DH,TWICE,I CAN'T STOP ME,Republic Records - TWICE,32,54,2,6147,2021-02-02,2021-02-02
33,spotify:track:1XnpzbOGptRwfJhZgLbmSr,BLACKPINK,Pretty Savage,YG Entertainment/Interscope Records,33,53,2,6040,2021-02-02,2021-02-02
34,spotify:track:39EXZNMxb4RBHlRjnRaOKp,V,Sweet Night,(주)블렌딩,33,33,2,6035,2021-02-02,2021-02-02
35,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,BTS,DNA,BIGHIT MUSIC,35,46,2,5904,2021-02-02,2021-02-02
36,spotify:track:24UdklPfDXaq7Pw5UfoWpc,BTS,We are Bulletproof : the Eternal,BIGHIT MUSIC,36,57,2,5870,2021-02-02,2021-02-02
37,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,22,22,2,5816,2021-02-02,2021-02-02
38,spotify:track:6FdShjf7nA2cqEnpv1tIia,NCT U,Make A Wish (Birthday Song),SM Entertainment,38,42,2,5783,2021-02-02,2021-02-02
39,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,25,25,2,5705,2021-02-02,2021-02-02
40,spotify:track:3Wu4lFjkhcXxB6WWaX9gtr,TAEYEON,What Do I Call You,SM Entertainment,40,56,2,5620,2021-02-02,2021-02-02
41,spotify:track:3aW0ds4A4tSQDIp75FqWTo,BTS,FAKE LOVE,BIGHIT MUSIC,41,64,2,5612,2021-02-02,2021-02-02
42,spotify:track:4JUPEh2DVSXFGExu4Uxevz,"BLACKPINK, Selena Gomez",Ice Cream (with Selena Gomez),YG Entertainment/Interscope Records,42,69,2,5541,2021-02-02,2021-02-02
43,spotify:track:4HBZA5flZLE435QTztThqH,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),"Ariana Grande & Justin Bieber ""Stuck With U""- Charity",41,41,2,5514,2021-02-02,2021-02-02
44,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,31,31,2,5484,2021-02-02,2021-02-02
45,spotify:track:75scDPqGs75FotglJSoOI2,"BTS, Steve Aoki",MIC Drop (Steve Aoki Remix) (Full Length Edition),BIGHIT MUSIC,45,45,2,5465,2021-02-02,2021-02-02
46,spotify:track:22ryCgQttpV7oCrn7llGRu,BTS,Magic Shop,BIGHIT MUSIC,46,51,2,5426,2021-02-02,2021-02-02
47,spotify:track:3CYH422oy1cZNoo0GTG1TK,Red Velvet,Psycho,SM Entertainment,43,43,2,5368,2021-02-02,2021-02-02
48,spotify:track:6KUE0HSSudAp9AOycaF6SH,BTS,Make It Right,BIGHIT MUSIC,48,66,2,5279,2021-02-02,2021-02-02
49,spotify:track:1kBDdMMhlNZtfa1CkAvKae,BTS,Moon,BIGHIT MUSIC,49,52,2,5240,2021-02-02,2021-02-02
50,spotify:track:4lFT5k1oh0tqa8HX6N2HC5,BTS,00:00 (Zero O’Clock),BIGHIT MUSIC,50,68,2,5228,2021-02-02,2021-02-02
51,spotify:track:2xnNgKhyMl9MxBmRNGnBJP,keshi,right here,Island Records,18,18,2,5228,2021-02-02,2021-02-02
52,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,49,49,2,5143,2021-02-02,2021-02-02
53,spotify:track:4KjASaPtCvRJ4YArYpz6je,"Agust D, RM",Strange (feat. RM),BIGHIT MUSIC,35,35,2,5126,2021-02-02,2021-02-02
54,spotify:track:6wyr4ReB05D9sJB1Rsmcqo,"j-hope, Becky G",Chicken Noodle Soup (feat. Becky G),BIGHIT MUSIC,29,29,2,5107,2021-02-02,2021-02-02
55,spotify:track:7lthOBXNue2IvedLRfkod8,BTS,HOME,BIGHIT MUSIC,55,60,2,5047,2021-02-02,2021-02-02
56,spotify:track:5cQB9fbuQCz4muQUFkv3rR,BTS,Serendipity (Full Length Edition),BIGHIT MUSIC,56,70,2,5040,2021-02-02,2021-02-02
57,spotify:track:4TgxFMOn5yoESW6zCidCXL,"Jawsh 685, Jason Derulo, BTS",Savage Love (Laxed – Siren Beat) [BTS Remix],Columbia,36,36,2,4966,2021-02-02,2021-02-02
58,spotify:track:64EDGnUytmCV7TfOo67810,NCT U,90's Love,SM Entertainment,58,65,2,4844,2021-02-02,2021-02-02
59,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,Top Dawg Entertainment/RCA Records,32,32,2,4757,2021-02-02,2021-02-02
