trackAppearanceCount,artistAppearanceCount,artist_names,track_name,rank,uri,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen
0,0,"21 Savage, Drake",MR RECOUP,151,spotify:track:38iBHQloAVZNpKsFVU8aAd,"Slaughter Gang, LLC/Epic Records",151,-1,1,9763016,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,21 Savage,0
0,0,Aditya Rikhari,Sahiba,109,spotify:track:0eLtIxPRNJfsmehITZ1qaJ,T-Series,37,97,24,10837026,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Aditya Rikhari,0
0,0,Alex Warren,Ordinary,16,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Atlantic Records,1,14,45,24322646,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Alex Warren,0
0,0,Andy Williams,It's the Most Wonderful Time of the Year,13,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Columbia,7,17,51,26540722,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Andy Williams,0
0,0,Arctic Monkeys,505,100,spotify:track:58ge6dfP91o9oXMzq3XkIS,Domino Recording Co,43,85,206,11218930,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Arctic Monkeys,0
0,1,Arctic Monkeys,I Wanna Be Yours,50,spotify:track:5XeFesFbtLpXzIVDNQP22n,Domino Recording Co,15,48,180,14411072,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Arctic Monkeys,0
0,0,Ariana Grande,Santa Tell Me,7,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Universal Records,3,9,57,32336820,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Ariana Grande,1
0,1,Ariana Grande,we can't be friends (wait for your love),114,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Republic Records,1,93,93,10659804,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Ariana Grande,0
0,0,BLACKPINK,JUMP,184,spotify:track:5H1sKFMzDeMtXwND3V6hRY,YG Entertainment,1,133,23,9234710,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,BLACKPINK,0
0,0,BLOK3,KUSURA BAKMA,61,spotify:track:1mgoLJV5W6JSWanT5bgf3o,Mundo Music,29,29,3,13753019,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,BLOK3,0
0,0,Bad Bunny,BAILE INoLVIDABLE,33,spotify:track:2lTm559tuIvatlT1u0JYG2,Rimas Entertainment LLC.,4,44,50,17548694,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bad Bunny,0
0,1,Bad Bunny,DtMF,32,spotify:track:3sK8wGT43QFpWrvNQsrQya,Rimas Entertainment LLC.,1,37,50,17598333,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bad Bunny,0
0,2,Bad Bunny,EoO,85,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Rimas Entertainment LLC.,9,98,50,11900011,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bad Bunny,0
0,3,Bad Bunny,NUEVAYoL,69,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Rimas Entertainment LLC.,5,73,50,13164345,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Bad Bunny,0
