trackAppearanceCount,artistAppearanceCount,artist_names,track_name,rank,uri,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen
0,0,"A.R. Rahman, Arijit Singh, Irshad Kamil",Tere Ishk Mein,109,spotify:track:3IFpZhsVBrxmBgicKjgCsD,T-Series,6,34,9,1959396,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,A.R. Rahman,0
0,1,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",Tere Bina,16,spotify:track:4FeczSomVWVyU4FW7xDeAI,Sony Music Entertainment India Pvt. Ltd.,8,17,70,4498537,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,A.R. Rahman,0
0,2,"A.R. Rahman, Faheem Abdullah, Irshad Kamil",Aawaara Angaara,22,spotify:track:6flQ5XJKj5qIhpxSHOd3jC,T-Series,6,6,4,4150412,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,A.R. Rahman,0
0,3,"A.R. Rahman, Jaswinder Singh, Shiraz Uppal","Raanjhanaa (From ""Raanjhanaa"")",64,spotify:track:5OMUXgfXsSukZ0zxelpC3b,Sony Music Entertainment India Pvt. Ltd.,50,50,70,2431136,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,A.R. Rahman,0
0,4,"A.R. Rahman, Javed Ali, KIRTI SAGATHIA, Pooja AV","Tum Tak (From ""Raanjhanaa"")",94,spotify:track:1wnozUBSe7OMpmZiTPJC5j,Sony Music Entertainment India Pvt. Ltd.,70,111,61,2090410,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,A.R. Rahman,0
0,5,"A.R. Rahman, Mohit Chauhan, Balaji","Chikiri Chikiri (From ""Peddi"") [TELUGU]",102,spotify:track:41GTIflnHCWqHgYq7israx,T-Series,58,94,6,1993587,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,A.R. Rahman,0
0,0,"AP Dhillon, Shinda Kahlon",Dil Nu,188,spotify:track:7AsG1F1eMWd17RYan8M3Wm,RUN-UP RECORDS,33,197,97,1460865,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,AP Dhillon,0
0,1,"AP Dhillon, Shreya Ghoshal",Thodi Si Daaru,48,spotify:track:3JiLQJmVW7d4O8AQDFB3oj,AP Dhillon,3,51,20,2668295,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,AP Dhillon,0
0,0,"ARJN, KDS, FIFTY4, RONN",KALYANI,92,spotify:track:2Uyj6K6mSaFTZsPvov415i,Universal Music India Pvt Ltd.,92,102,3,2105750,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,ARJN,0
0,0,"Abhijeet, Shreya Ghoshal",Dil Kaa Jo Haal Hai,130,spotify:track:3IZhkhpuGU7iNWDcQ30nZm,T-Series,40,124,18,1818635,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Abhijeet,0
0,0,Aditya Rikhari,Paaro,72,spotify:track:0hFkx6EoIRvNmEVXQIIJtk,Universal Music India Pvt Ltd.,25,64,40,2323351,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Aditya Rikhari,0
0,1,Aditya Rikhari,Sahiba,2,spotify:track:0eLtIxPRNJfsmehITZ1qaJ,T-Series,1,1,24,9623574,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Aditya Rikhari,1
0,2,Aditya Rikhari,Samjho Na,39,spotify:track:1d5lpW3gUyq537iuyrb9Lf,CollabX Productions,16,37,139,2941558,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Aditya Rikhari,0
0,3,"Aditya Rikhari, UNPLG'd",Paro,32,spotify:track:6nRGPf5tpeJtKpXZO5cgIT,Universal Music India Pvt Ltd.,7,32,41,3381804,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Aditya Rikhari,0
0,0,"Afsana Khan, Reble, Shashwat Sachdev, Irshad Kamil","Naal Nachna (From ""Dhurandhar"")",61,spotify:track:2nnDPEbNxnBKq5RG6sObTg,Saregama India Ltd,61,-1,1,2466377,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Afsana Khan,0
0,0,"Akhil Sachdeva, Mansheel Gujral","Humsafar (From ""Badrinath Ki Dulhania"")",98,spotify:track:7aE1lfskJLMHQnzCCP1zsV,T-Series,44,101,100,2041105,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Akhil Sachdeva,0
0,0,"Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",23,spotify:track:6kYoY0PhBelP64UMnhsEZx,T-Series,4,23,342,4035045,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Alka Yagnik,0
0,0,"Amaal Mallik, Armaan Malik, Kunaal Vermaa","Chale Aana (From ""De De Pyaar De"")",196,spotify:track:6vuMdb0E8buJeSHArN3dXk,T-Series,18,-1,140,1440804,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Amaal Mallik,0
0,0,"Amanraj Gill, Prem Lata",Hopeless,140,spotify:track:29f6IOg01XRLHKDhFjua1I,Saregama India Ltd,140,-1,1,1685010,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Amanraj Gill,0
0,0,"Ami Mishra, Kunaal Vermaa",Hasi - Male Version,110,spotify:track:32765xcLM1fd6wQIpkN9A0,Sony Music Entertainment India Pvt. Ltd.,59,98,129,1952682,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Ami Mishra,0
0,0,"Anand Bhaskar, Romy, Ginny Diwan",Vaaroon,120,spotify:track:4sgYmcu4FKb1ZC6qBlxMiw,Zee Music Company,73,121,25,1870761,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Anand Bhaskar,0
0,0,"Anirudh Ravichander, Sublahshini, Asal Kolaar",Monica,150,spotify:track:7MrdHOL2aoWfT16CncgNei,Sun Pictures,12,132,23,1639083,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Anirudh Ravichander,0
0,0,"Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast",Ishq Hai,136,spotify:track:3vCzLB6kS2lGcIpm1OOUsy,Netflix Music,1,126,53,1753431,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Anurag Saikia,0
0,0,Anuv Jain,Arz Kiya Hai | Coke Studio Bharat,21,spotify:track:1bMkimTb47umgNP6xCi4A1,Universal Music India Pvt Ltd.,5,22,17,4171268,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Anuv Jain,0
0,1,Anuv Jain,Baarishein,115,spotify:track:3WLJ7D5kh44K5eJ1NqZQ6W,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),16,90,240,1902303,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Anuv Jain,0
0,2,Anuv Jain,Husn,77,spotify:track:0TL0LFcwIBF5eX7arDIKxY,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),1,71,107,2226050,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Anuv Jain,0
0,3,Anuv Jain,Jo Tum Mere Ho,18,spotify:track:0eCajpR75pDW0r64U6hP2x,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),1,14,71,4436326,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Anuv Jain,0
0,4,"Anuv Jain, AP Dhillon",Afsos,51,spotify:track:4Qm7r3ImER8S2Ori1gLMAf,"Universal Music India Pvt. Ltd. (on behalf of Anuv Jain, AP DHILLON INC/Republic Records)",6,58,46,2613030,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Anuv Jain,0
0,0,"Aparshakti Khurana, Savi Kahlon",Zaroor,174,spotify:track:5thVzD79BxlDTYy0LfHzvu,Sony Music India / Nine,13,196,69,1546982,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Aparshakti Khurana,0
0,0,Arctic Monkeys,I Wanna Be Yours,161,spotify:track:5XeFesFbtLpXzIVDNQP22n,Domino Recording Co,48,147,162,1578014,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Arctic Monkeys,0
0,0,Arijit Singh,"Humdard (From ""Ek Villain"")",27,spotify:track:5ZGtdGwdocDZDniXHkmnVA,T-Series,15,24,283,3674880,2025-12-18,51,2025,2025-12-18,1766016000.0,2025-12-01,1,Arijit Singh,0
